Site,Paper_ID,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at,CMI_wt,CMI_sp,CMI_sm,CMI_at
Coast Fork of Williamette,55,43.6517,-123.088,254,7.6,16.5,25.9,16.5,0.5,4.6,10.8,5.6,4.1,10.5,18.4,11.1,614,365,62,255,-9999,-9999,-9999,-9999,75,10,0,6,116,530,1229,580,1244,707,115,654,0,8,150,22,48,75,92,77,54,2,0,2,62,256,428,158,0,62,366,0,75,62,56,65,48.97,18.48,-28.85,7.79
Canton Creek,57,43.4137,-122.7804,503,7,16.1,26.8,16.5,0.1,4,11.1,5.6,3.6,10,19,11.1,689,417,61,278,-9999,-9999,-9999,-9999,87,13,0,7,106,499,1287,581,1288,748,93,657,0,8,187,24,45,72,92,76,82,4,0,3,60,256,447,159,0,67,387,0,76,62,55,65,56.22,23.65,-32.54,9.74
Rock Creek,11,43.37876,-122.9521,295,7.4,17.5,27.7,17.1,0.4,4.7,11.1,5.4,3.9,11.1,19.4,11.2,766,402,59,287,-9999,-9999,-9999,-9999,77,10,0,6,114,576,1329,594,1257,665,75,643,0,15,212,25,47,75,92,76,70,2,0,3,62,273,465,167,0,73,406,0,76,60,53,63,63.94,20.24,-34.53,9.68
O'Neil Creek,9,41.80979,-123.1189,487,7.7,17.8,30.6,19.4,-0.2,4.2,12.4,5.6,3.7,11,21.5,12.5,607,244,43,111,-9999,-9999,-9999,-9999,83,10,0,4,115,580,1518,701,1275,669,37,540,0,15,358,40,42,74,92,78,68,2,0,1,70,289,522,200,0,66,479,89,72,58,49,58,57.32,3.09,-45.65,-13.46
Deep Creek,8,41.66546,-123.1134,694,8.2,18.6,32,20.7,-0.4,4.8,13.8,6.6,3.9,11.7,22.9,13.7,170,81,33,44,-9999,-9999,-9999,-9999,79,9,0,3,121,640,1647,797,1261,611,22,465,0,23,473,62,41,77,92,81,16,0,0,0,74,299,541,210,0,218,508,167,70,58,50,57,11.48,-15.2,-51.61,-23.12
Little Jameson Creek,7,39.74298,-120.704,1592,5.3,13,26.3,17.4,-3.7,0.6,9.6,2.5,0.8,6.8,18,9.9,1048,447,11,155,-9999,-9999,-9999,-9999,173,35,0,9,44,279,1194,493,1536,1038,135,749,0,0,133,13,20,50,91,60,383,45,0,3,48,242,463,200,0,0,452,61,67,59,52,54,116.37,29.79,-42.08,-7.89
Oregon Creek,6,39.39704,-121.082,448,12.6,19.9,33.5,25.1,2.4,7.3,15.6,8.6,7.5,13.6,24.5,16.9,1161,524,8,148,-9999,-9999,-9999,-9999,31,4,0,1,302,793,1796,1076,936,451,9,252,1,38,610,139,63,87,92,87,26,1,0,0,105,312,570,264,0,0,561,131,66,61,51,52,122.06,28.1,-56.76,-21.2
Rainbow Pool,29,37.81878,-120.0073,833,11.1,17.2,30.5,22.8,0.6,5.1,14.2,7.2,5.8,11.1,22.3,15,771,375,7,70,-9999,-9999,-9999,-9999,49,8,0,1,212,585,1593,907,1085,657,27,359,0,11,424,74,49,79,92,84,45,3,0,0,106,288,522,254,0,65,516,185,65,62,54,54,79.1,17.01,-48.86,-25.16
Carlon,28,37.81006,-119.8568,1320,9,15,27.8,20.8,-1,3.4,12.7,5.8,4,9.2,20.2,13.3,794,445,9,69,-9999,-9999,-9999,-9999,81,14,0,2,133,432,1404,762,1250,818,64,473,0,2,271,40,37,70,92,79,106,10,0,0,96,262,478,237,0,55,470,175,66,63,56,55,83.84,26.48,-43.25,-23.09
Buck Meadows,27,37.77722,-120.0633,830,11.6,17.7,31.1,23.3,1,5.5,14.5,7.5,6.3,11.6,22.8,15.4,781,359,6,73,-9999,-9999,-9999,-9999,43,7,0,1,237,623,1636,943,1041,618,22,335,0,14,462,86,52,81,92,85,35,2,0,0,109,294,534,259,0,80,528,188,65,61,53,53,79.32,14.56,-50.97,-25.91
Wawona,5,37.53822,-119.6514,1208,10.1,16,29.3,22.1,-0.2,3.9,13.5,6.3,4.9,10,21.4,14.2,890,442,9,90,-9999,-9999,-9999,-9999,63,12,0,2,172,490,1507,837,1165,758,42,419,0,5,350,62,43,74,92,80,82,7,0,1,102,276,504,251,0,56,495,192,65,62,55,53,93.25,24.91,-46.95,-23.43
Redwood Creek,4,36.68952,-118.9096,1677,8,12.6,25.7,18.6,-2.3,2.2,12.4,5.2,2.9,7.4,19.1,11.9,666,442,9,154,-9999,-9999,-9999,-9999,107,22,0,4,99,302,1297,651,1350,981,94,580,0,0,197,26,28,62,92,76,130,24,0,2,96,233,438,221,0,43,428,167,64,66,61,58,73.81,30.37,-37.8,-10.42
North Fork Middle Fork Tule,3,36.20081,-118.6509,1284,10.1,15.7,29,21.2,2,5.9,15.7,8.8,6,10.8,22.3,15,578,477,14,154,-9999,-9999,-9999,-9999,47,8,0,1,226,551,1594,908,1067,686,26,364,0,8,423,79,59,84,92,88,28,4,0,1,101,260,478,237,0,70,465,183,72,69,62,62,64.54,29.68,-42.69,-12.9
South Fork Middle Fork Tule,58,36.13756,-118.5741,1664,8.8,13.5,26,18.7,-1.6,2.2,12.4,5.4,3.6,7.9,19.2,12.1,632,526,17,182,-9999,-9999,-9999,-9999,88,18,0,4,121,329,1305,660,1284,938,90,566,0,0,202,25,33,63,92,77,88,23,0,2,102,249,446,223,0,66,429,168,64,63,60,59,73.07,37.02,-37.77,-7.77
West Fork Mojave River,2,34.28425,-117.3754,1087,12.1,18.5,30.9,23,2.9,6,15,9.8,7.5,12.2,22.9,16.4,730,253,7,135,-9999,-9999,-9999,-9999,31,5,0,1,309,676,1651,1036,936,563,22,287,0,18,477,134,66,84,92,88,17,1,0,0,122,316,540,266,0,145,532,200,69,61,55,60,75.57,1.86,-50.94,-17.95
Mill Creek,12,34.07808,-116.8756,1992,6.2,12.1,24.4,17,-4.1,-0.2,10.2,3.3,1,6,17.3,10.1,959,274,15,258,-9999,-9999,-9999,-9999,161,34,0,10,53,220,1133,514,1514,1111,169,733,0,0,105,14,18,43,91,64,311,40,0,9,65,249,439,224,0,91,424,151,63,59,58,57,110.86,14.02,-36.56,2.66
Whitewater Canyon,17,33.99329,-116.6627,696,15.4,23,35.7,27.2,5.7,9.7,18.8,12.9,10.6,16.3,27.3,20,342,73,8,69,-9999,-9999,-9999,-9999,13,1,0,0,520,1037,2045,1362,668,261,4,125,11,98,857,301,83,92,92,91,2,0,0,0,142,372,615,310,0,299,607,241,69,60,54,58,24.81,-22.87,-64.06,-32.55
Sweetwater River,1,32.89913,-116.5865,1386,10.8,15.8,28.7,22.1,1.5,4.7,13.2,7.7,6.1,10.3,20.9,14.9,736,197,15,256,-9999,-9999,-9999,-9999,44,8,0,2,229,508,1467,905,1058,727,55,375,0,4,322,88,56,79,92,84,29,2,0,2,122,282,512,277,0,105,497,193,69,64,56,57,66.9,0.55,-45.68,-6.52
Kitchen Creek,15,32.75206,-116.4522,1173,12.5,17.5,30.5,23.5,1.3,3.7,11.2,6.7,6.9,10.6,20.8,15.1,521,132,14,183,-9999,-9999,-9999,-9999,36,7,0,2,273,534,1456,916,988,698,59,361,0,4,317,89,55,74,91,81,14,1,0,1,139,319,569,302,0,187,555,219,63,57,47,51,41.19,-9.55,-53.43,-17.64
Hauser Creek,14,32.65822,-116.5323,788,15.2,19.9,32.4,25.8,2.3,4.8,11.9,7.6,8.7,12.4,22.1,16.7,368,76,10,124,-9999,-9999,-9999,-9999,22,4,0,1,388,684,1577,1062,825,548,35,266,4,16,418,139,62,80,92,84,4,0,0,0,161,354,608,329,0,277,599,244,59,54,44,48,21.2,-19.01,-58.82,-27.89
