Site,Paper_ID,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at,CMI_wt,CMI_sp,CMI_sm,CMI_at
Coast Fork of Williamette,55,43.6517,-123.088,254,8.6,12.7,23.7,18,1,3,9.8,6.3,4.8,7.8,16.7,12.1,500,558,96,245,-9999,-9999,-9999,-9999,59,16,0,9,130,309,1081,679,1183,938,203,598,0,0,89,57,52,69,91,79,20,18,0,7,67,208,394,181,0,0,297,97,74,68,58,64,29.31,43.8,-20.89,2.94
Canton Creek,57,43.4137,-122.7804,503,8.1,12,24.5,18,0.6,2.1,9.9,6.2,4.3,7.1,17.2,12.1,577,661,110,262,-9999,-9999,-9999,-9999,66,22,0,12,114,266,1127,689,1223,1007,182,614,0,0,113,73,48,63,91,77,29,35,0,10,66,207,411,184,0,0,301,102,74,68,57,64,32.51,54.56,-22.54,3.65
Rock Creek,11,43.37876,-122.9521,295,8.5,13.4,25.5,18.6,0.9,2.8,10,6,4.7,8.1,17.7,12.3,630,642,103,290,-9999,-9999,-9999,-9999,60,16,0,10,129,337,1175,701,1191,909,152,597,0,0,131,72,51,68,91,78,27,18,0,9,68,223,429,192,0,0,326,107,74,66,55,62,35.15,50.83,-24.96,5.45
O'Neil Creek,9,41.80979,-123.1189,487,8.8,14,28.7,20.3,-0.1,1.7,11,6,4.3,7.9,19.8,13.1,418,391,66,233,-9999,-9999,-9999,-9999,67,19,0,11,119,327,1365,782,1226,933,90,568,0,0,257,117,43,60,91,75,23,14,0,6,78,245,492,221,0,65,426,121,70,61,50,57,16.87,24.16,-38.42,-5.08
Deep Creek,8,41.66546,-123.1134,694,9.3,14.8,30,21.5,-0.3,2.3,12.3,6.9,4.5,8.6,21.2,14.2,115,106,63,83,-9999,-9999,-9999,-9999,64,16,0,9,128,378,1490,871,1212,876,61,509,0,0,354,153,41,64,92,77,6,2,0,2,82,256,511,230,14,153,448,157,68,60,50,57,-1.74,-6.27,-43.26,-22.89
Little Jameson Creek,7,39.74298,-120.704,1592,6.7,10.6,24.6,17.8,-3.5,-1,8.3,3.7,1.6,4.8,16.5,10.8,935,795,178,346,-9999,-9999,-9999,-9999,136,50,0,22,45,157,1058,609,1472,1217,223,708,0,0,92,51,20,35,90,64,170,170,1,13,79,216,439,212,0,0,309,57,63,61,52,56,45.35,69.04,-21.79,8.81
Oregon Creek,6,39.39704,-121.082,448,13.6,17.8,31.3,24.9,2.8,5.7,14.2,9.5,8.2,11.7,22.7,17.2,931,795,95,358,-9999,-9999,-9999,-9999,24,6,0,2,326,624,1631,1113,880,603,33,313,0,10,471,231,66,84,92,85,8,3,0,1,112,287,533,268,0,8,438,114,65,62,52,55,33.29,58.75,-41.48,-1.27
Rainbow Pool,29,37.81878,-120.0073,833,12.1,16,29,22.2,1,3.6,12.9,8,6.5,9.8,20.9,15.1,738,505,87,164,-9999,-9999,-9999,-9999,38,10,0,4,232,471,1467,935,1025,766,66,404,0,0,333,135,52,73,92,82,15,5,0,1,113,279,501,251,0,84,414,115,63,60,54,57,23.7,31.4,-37.34,-14.7
Carlon,28,37.81006,-119.8568,1320,10.3,13.9,26.5,20.3,-0.5,1.8,11.4,6.7,4.9,7.9,19,13.5,752,573,88,172,-9999,-9999,-9999,-9999,58,18,0,7,152,325,1286,800,1170,937,125,510,0,0,215,90,40,60,91,77,32,19,0,2,104,255,460,234,0,21,372,100,64,61,56,58,25.71,41.27,-32.49,-11.18
Buck Meadows,27,37.77722,-120.0633,830,12.5,16.5,29.6,22.7,1.3,4,13.1,8.3,6.9,10.3,21.3,15.5,754,488,93,170,-9999,-9999,-9999,-9999,34,9,0,3,252,507,1505,967,993,726,56,382,0,2,365,147,55,76,92,83,13,4,0,1,115,285,512,256,0,104,419,119,63,60,54,57,24.37,28.89,-38.51,-15.24
Wawona,5,37.53822,-119.6514,1208,11.4,15,28,21.6,0.2,2.5,12.3,7.2,5.8,8.8,20.1,14.4,890,534,71,152,-9999,-9999,-9999,-9999,46,14,0,5,193,393,1396,875,1091,856,87,453,0,0,283,117,46,65,92,79,24,11,0,2,111,270,485,248,0,60,414,122,63,60,55,57,28.78,35.51,-37.71,-15.76
Redwood Creek,4,36.68952,-118.9096,1677,9.5,11.9,24.8,18.6,-2.1,0.3,10.8,5.7,3.7,6.1,17.8,12.2,798,372,54,185,-9999,-9999,-9999,-9999,80,31,0,13,109,222,1182,704,1277,1097,166,605,0,0,155,67,29,47,91,72,49,35,0,5,107,235,434,225,0,62,380,104,60,62,59,60,12.1,24.69,-32.59,-7.25
North Fork Middle Fork Tule,3,36.20081,-118.6509,1284,11.6,15.1,28.4,21.5,2.2,4.1,13.9,9.3,6.9,9.6,21.1,15.4,720,342,36,182,-9999,-9999,-9999,-9999,34,11,0,5,258,456,1485,964,991,784,63,406,0,1,350,162,62,77,92,84,9,4,0,2,112,265,485,246,0,99,449,126,69,65,58,63,2.86,16.35,-41.16,-11.67
South Fork Middle Fork Tule,58,36.13756,-118.5741,1664,10.4,13,25.4,19.1,-1.2,0.6,10.6,6,4.6,6.8,18,12.5,768,355,37,197,-9999,-9999,-9999,-9999,64,24,0,10,140,254,1200,728,1200,1037,157,577,0,0,162,71,35,49,91,73,28,21,0,6,113,252,451,233,0,79,414,113,61,60,56,59,6.18,21.07,-36.33,-6.96
West Fork Mojave River,2,34.28425,-117.3754,1087,14.1,19.5,30.5,23.4,3.1,5.4,13.7,9.6,8.6,12.4,22.1,16.5,659,194,33,172,-9999,-9999,-9999,-9999,22,4,0,2,369,687,1575,1054,840,544,38,314,1,14,420,173,68,83,92,86,5,0,0,1,140,338,543,280,0,207,510,157,64,57,53,59,18.66,-6.85,-48.48,-16.92
Mill Creek,12,34.07808,-116.8756,1992,8.1,12.9,24,17.3,-3.7,-1.2,8.9,3.2,2.2,5.9,16.4,10.2,837,183,45,214,-9999,-9999,-9999,-9999,118,33,0,21,72,208,1053,560,1409,1120,222,733,0,0,83,27,20,33,90,62,104,20,0,16,111,266,441,233,0,150,395,121,59,54,55,56,27.91,3.86,-33.67,-2.96
Whitewater Canyon,17,33.99329,-116.6627,696,17.3,23.6,35.2,27.4,6.1,8.6,17.5,13,11.7,16.1,26.4,20.2,279,48,20,52,-9999,-9999,-9999,-9999,9,1,0,1,612,1016,1964,1377,573,267,7,175,16,85,777,363,85,91,92,90,0,0,0,0,159,394,617,319,38,346,597,267,65,55,52,58,-8.66,-27.96,-62.66,-36.46
Sweetwater River,1,32.89913,-116.5865,1386,12.6,17.2,28.4,22.1,1.5,3.7,12.2,7.3,7.1,10.4,20.3,14.7,581,153,11,194,-9999,-9999,-9999,-9999,33,7,0,3,272,521,1411,900,978,711,77,407,0,1,287,103,56,74,92,82,10,1,0,2,139,314,514,284,18,160,503,197,64,58,54,56,17.04,-7.24,-46.04,-13.61
Kitchen Creek,15,32.75206,-116.4522,1173,14.3,19,30.2,23.8,1.4,2.8,10.4,6.3,7.8,10.9,20.3,15,419,104,9,133,-9999,-9999,-9999,-9999,27,6,0,3,320,559,1411,924,908,672,78,382,0,3,289,106,55,69,91,79,5,0,0,1,156,350,569,312,33,246,559,230,59,51,45,49,7.5,-16.26,-53.75,-24.48
Hauser Creek,14,32.65822,-116.5323,788,16.9,21.4,32.2,25.9,2.3,4,11.1,7.2,9.6,12.7,21.6,16.6,292,65,6,95,-9999,-9999,-9999,-9999,17,3,0,2,439,710,1532,1049,751,516,48,292,5,15,385,154,62,76,91,82,1,0,0,0,178,386,607,337,44,322,602,256,54,48,43,47,-4.29,-24.13,-58.94,-32.53
