Site,Paper_ID,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at,CMI_wt,CMI_sp,CMI_sm,CMI_at
Wawona,5,37.53822,-119.6514,1208,11.1,14.6,28.9,20.9,0.3,1.6,12.7,6.6,5.7,8.1,20.8,13.8,713,348,5,309,5.2,17.2,29.5,14.2,47,16,0,6,180,341,1451,820,1104,912,53,485,0,0,309,90,46,58,92,77,19,13,0,4,109,266,503,244,0,71,497,127,64,58,54,57,89.17,17.9,-46.74,1.02
Redwood Creek,4,36.68952,-118.9096,1677,8.8,11.5,25.8,17.7,-2.2,-0.4,11.1,5.1,3.3,5.5,18.4,11.4,703,300,7,242,3.9,20,30.8,15.5,87,36,0,14,90,190,1239,640,1318,1148,123,648,0,0,167,45,27,40,92,71,56,51,0,10,102,232,451,217,0,75,446,113,62,60,57,61,98.53,18.33,-39.65,0.26
North Fork Middle Fork Tule,3,36.20081,-118.6509,1284,11.2,14.8,29.2,20.6,2.3,3.5,14.4,8.7,6.7,9.1,21.8,14.7,681,273,8,200,1.6,19.3,29.1,13.2,35,11,0,5,239,418,1545,900,1012,823,36,434,0,0,384,124,62,72,92,83,12,6,0,3,109,264,499,238,0,98,491,126,70,64,57,64,92.53,10.06,-46.14,-8
South Fork Middle Fork Tule,58,36.13756,-118.5741,1664,9.9,12.7,26.3,18.3,-1.2,-0.1,11.1,5.4,4.3,6.3,18.7,11.8,737,276,11,214,2.5,19.8,29.5,13.9,67,27,0,11,123,226,1264,667,1226,1078,112,614,0,0,181,48,34,43,92,72,36,31,0,7,110,250,465,225,0,88,455,118,63,58,56,60,102.44,13.85,-40.93,-3.64
West Fork Mojave River,2,34.28425,-117.3754,1087,13.3,19,30.7,22.4,2.7,4.5,13.9,9.4,8,11.7,22.3,15.9,640,165,8,113,3.9,20.2,24.5,13.2,25,5,0,2,318,631,1591,991,898,597,28,352,0,9,424,148,65,79,92,86,6,1,0,0,135,335,546,267,0,170,539,154,65,56,53,61,74.31,-9.33,-51.35,-20.5
Mill Creek,12,34.07808,-116.8756,1992,7.2,12.3,24,16.4,-4.2,-1.9,9,2.9,1.5,5.2,16.5,9.6,859,182,12,180,10.5,24.4,26,18.9,136,42,0,20,48,178,1062,503,1479,1180,213,787,0,0,78,23,16,28,90,61,127,32,0,7,106,260,441,224,0,102,429,115,59,53,55,57,114.27,4.92,-36.87,-4.45
Whitewater Canyon,17,33.99329,-116.6627,696,16.4,23,35.3,26.6,5.7,7.8,17.7,12.6,11,15.4,26.5,19.6,319,44,5,42,4.8,21.7,23,13.3,11,2,0,1,540,949,1973,1321,632,320,5,181,9,68,785,313,84,90,92,90,1,0,0,0,153,387,617,310,0,344,613,268,66,55,52,59,23.32,-27.35,-63.98,-35.4
Sweetwater River,1,32.89913,-116.5865,1386,12.2,16.4,28.2,21.2,1.3,3,12,7.1,6.8,9.7,20.1,14.1,682,169,10,201,8.5,22.7,23.1,15.7,35,10,0,4,243,462,1388,845,1008,779,73,445,0,0,265,84,54,69,92,82,11,2,0,1,137,305,511,273,0,143,500,133,64,58,54,57,70.7,-3.91,-45.35,-10.87
Kitchen Creek,15,32.75206,-116.4522,1173,13.9,18.1,30.1,22.7,1.2,2,10.2,6.1,7.5,10,20.1,14.4,531,138,10,141,9,23.7,21.5,16.3,28,8,0,3,289,490,1392,866,939,746,74,421,0,0,268,85,53,62,91,79,6,1,0,0,153,340,566,299,0,201,556,171,59,51,45,51,47.44,-10.75,-53,-21.19
Hauser Creek,14,32.65822,-116.5323,788,16.6,20.5,31.9,25,2.1,3.2,10.9,6.9,9.3,11.9,21.4,15.9,369,84,8,90,4.6,20.3,20.7,11.8,18,5,0,2,410,639,1509,992,780,587,45,323,2,8,356,127,60,71,91,81,2,0,0,0,176,375,603,326,0,291,596,235,55,48,43,48,22.92,-20.69,-57.75,-30.43
