Site,Paper_ID,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at,CMI_wt,CMI_sp,CMI_sm,CMI_at
Coast Fork of Williamette,55,43.6517,-123.088,254,9.2,14.2,24.5,16.7,1.7,3.1,9.7,6.2,5.4,8.6,17.1,11.4,393,504,132,404,6.9,6.6,24.7,2.6,59,12,0,8,170,363,1117,615,1133,862,185,627,0,0,106,26,56,70,91,81,17,10,0,8,70,228,411,163,0,0,279,17,74,64,56,67,43.75,36.08,-19.75,22.13
Canton Creek,57,43.4137,-122.7804,503,8.8,13.6,25.6,16.5,1.3,2.3,10,6.1,5,7.9,17.8,11.3,402,539,142,468,8,6.9,25.9,3.9,63,16,0,11,152,317,1182,617,1170,930,160,643,0,0,148,32,53,64,91,79,20,16,0,12,69,226,432,165,0,0,290,2,74,63,55,67,49.03,40.07,-22.52,28.04
Rock Creek,11,43.37876,-122.9521,295,9.1,15,26.5,17.1,1.6,3,10.1,5.9,5.4,9,18.3,11.5,452,546,128,492,7,5.7,24.8,2.3,60,12,0,10,172,393,1223,629,1139,837,136,625,0,0,164,32,56,69,91,79,21,9,0,12,70,243,449,173,0,0,321,12,74,61,53,65,55.43,38.71,-25.56,29.48
O'Neil Creek,9,41.80979,-123.1189,487,8.9,14.9,29.8,19,0.6,1.5,11.4,5.6,4.8,8.2,20.6,12.3,400,312,46,270,5.4,5.8,23.2,4,63,15,0,11,144,342,1436,708,1190,904,83,584,0,0,319,60,49,57,91,75,18,8,0,8,77,255,513,203,0,70,468,87,72,57,49,59,44.92,15.05,-44.28,2.76
Deep Creek,8,41.66546,-123.1134,694,9.3,15.6,31.2,20.2,0.5,2,12.8,6.6,4.9,8.8,22,13.4,121,87,39,97,6.4,6.3,23.2,5.4,62,13,0,9,152,392,1563,799,1182,851,56,517,0,0,424,91,47,62,92,77,5,2,0,2,80,265,533,212,5,177,495,140,70,57,49,59,7.6,-9.25,-50.03,-17.05
Little Jameson Creek,7,39.74298,-120.704,1592,6.3,11.4,25.5,17,-3,-1.7,8.8,3.3,1.7,4.9,17.1,10.1,601,398,21,397,8.1,13.4,24.4,9.6,140,42,0,23,48,147,1120,550,1470,1211,186,743,0,0,110,26,23,29,91,65,98,68,0,23,57,226,454,202,0,20,434,111,66,57,52,57,77.1,28.83,-39.63,16.1
Oregon Creek,6,39.39704,-121.082,448,13.3,18.2,32.3,24.2,3.3,5.2,14.6,9.2,8.3,11.7,23.5,16.7,667,460,8,412,5.8,12.9,23.5,7.6,24,4,0,2,335,623,1699,1068,875,596,18,305,0,6,520,181,69,82,92,85,7,2,0,2,108,295,553,259,0,55,545,133,67,59,51,56,81.07,24.03,-53.55,6.43
Rainbow Pool,29,37.81878,-120.0073,833,12,15.6,29.9,21.6,1.3,2.8,13.2,7.4,6.7,9.2,21.5,14.5,528,320,6,331,0.1,12.4,26.6,8.4,36,11,0,5,230,417,1521,878,1019,819,38,434,0,0,362,104,54,67,92,80,9,6,0,4,111,274,519,247,0,74,514,128,65,59,53,57,63.5,14,-47.96,3.24
Carlon,28,37.81006,-119.8568,1320,10.1,13.5,27.4,19.7,-0.2,1,11.8,6,4.9,7.2,19.6,12.8,569,364,6,365,2.3,15.5,28.5,10.8,57,20,0,8,144,279,1343,745,1172,993,83,546,0,0,231,66,41,53,92,75,21,20,0,7,103,250,477,231,0,45,472,122,65,60,55,58,71,21.65,-42.92,9.15
Buck Meadows,27,37.77722,-120.0633,830,12.4,16.1,30.5,22,1.7,3.2,13.4,7.7,7.1,9.6,21.9,14.9,532,312,6,335,1.7,13.4,27.7,10.2,32,9,0,4,254,454,1558,910,982,780,32,409,0,0,393,115,58,71,92,81,8,5,0,3,114,279,531,251,0,84,525,129,65,59,52,57,63.14,12.33,-49.9,2.63
