Site,Paper_ID,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at,CMI_wt,CMI_sp,CMI_sm,CMI_at
Coast Fork of Williamette,55,43.6517,-123.088,254,8.9,17.3,26.6,19.4,0.5,5,11.3,7.3,4.7,11.2,19,13.3,439,423,66,422,-9999,-9999,-9999,-9999,68,7,0,5,134,570,1286,776,1198,649,116,487,0,9,207,56,48,80,92,83,16,2,0,4,71,267,440,187,0,35,373,33,71,61,56,63,53.77,22.55,-30.62,19.01
Canton Creek,57,43.4137,-122.7804,503,8.9,16.8,27.4,19.2,0.6,4.4,11.7,7.4,4.8,10.6,19.6,13.3,496,481,75,486,-9999,-9999,-9999,-9999,65,9,0,6,139,530,1341,777,1191,699,102,503,0,8,245,67,48,76,92,83,19,4,0,6,71,266,454,187,0,33,380,25,71,61,55,64,61.49,28.41,-32.86,25.08
Rock Creek,11,43.37876,-122.9521,295,9.3,18.3,28.4,19.8,0.8,5,11.8,7.2,5,11.6,20.1,13.5,514,457,67,519,-9999,-9999,-9999,-9999,63,7,0,5,154,613,1390,792,1167,612,81,484,0,14,271,67,50,80,92,83,16,2,0,6,73,284,475,195,0,49,408,32,71,59,53,62,66.31,23.89,-35.93,27.37
O'Neil Creek,9,41.80979,-123.1189,487,10.5,19.4,31.8,20.9,0.6,4.5,13.2,7.7,5.5,12,22.5,14.3,318,264,35,298,-9999,-9999,-9999,-9999,53,6,0,4,181,648,1608,865,1123,586,39,443,0,20,453,101,48,77,92,84,8,1,0,2,87,312,542,216,0,189,506,70,67,54,49,60,40.98,1.33,-50.47,1.94
Deep Creek,8,41.66546,-123.1134,694,11,20.3,33.1,22.1,0.5,5.1,14.6,8.7,5.7,12.7,23.9,15.4,83,64,31,110,-9999,-9999,-9999,-9999,51,5,0,3,194,713,1734,956,1105,529,24,385,0,30,566,140,47,80,92,85,2,0,0,1,91,324,561,224,27,261,530,124,65,54,49,60,3.68,-20.99,-56.25,-19.58
Little Jameson Creek,7,39.74298,-120.704,1592,9.3,15.5,27.1,18.7,-2.6,1.3,10.5,4.4,3.3,8.4,18.8,11.5,373,335,58,209,-9999,-9999,-9999,-9999,96,19,0,10,101,374,1274,636,1318,895,115,625,0,1,191,31,26,55,91,71,28,13,0,5,94,276,475,212,0,113,416,75,59,55,52,56,61.42,13.94,-39.36,-5.22
Oregon Creek,6,39.39704,-121.082,448,16.9,22.6,33.8,25.7,3.8,8.3,16.2,10.3,10.4,15.5,25,18,406,414,15,305,-9999,-9999,-9999,-9999,14,2,0,1,488,951,1840,1181,688,321,9,229,6,76,654,219,71,90,92,88,1,0,0,1,132,353,573,270,14,129,558,112,59,57,52,55,67.71,11.55,-56.78,-7.03
Rainbow Pool,29,37.81878,-120.0073,833,15.3,20,31.1,23.8,2.3,6.3,14.8,9,8.8,13.2,23,16.4,293,233,12,183,-9999,-9999,-9999,-9999,21,4,0,2,376,748,1654,1031,822,487,20,293,3,28,470,138,62,85,92,87,2,0,0,1,133,326,532,262,0,135,520,171,59,58,54,56,28.84,-2.81,-49.97,-16.03
Carlon,28,37.81006,-119.8568,1320,13.5,17.7,28.6,21.9,1,4.6,13.4,7.6,7.3,11.2,21,14.8,291,254,17,167,-9999,-9999,-9999,-9999,32,7,0,3,274,584,1470,900,963,648,47,385,0,9,323,87,52,78,92,84,5,1,0,1,122,299,488,246,0,98,471,159,60,59,56,57,29.32,2.27,-44.04,-15.2
Buck Meadows,27,37.77722,-120.0633,830,15.8,20.5,31.8,24.2,2.6,6.7,15.1,9.2,9.2,13.6,23.4,16.7,293,232,11,199,-9999,-9999,-9999,-9999,19,3,0,1,399,789,1695,1062,792,449,16,277,3,36,510,153,64,86,92,87,2,0,0,1,136,334,544,267,1,145,534,173,58,58,54,56,29.37,-3.91,-52.26,-15.42
