Site,Paper_ID,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at,CMI_wt,CMI_sp,CMI_sm,CMI_at
Coast Fork of Williamette,55,43.6517,-123.088,254,9.1,16.2,26.9,18.4,1.1,4.5,10.7,5.9,5.1,10.3,18.8,12.1,326,300,42,197,-9999,-9999,-9999,-9999,55,12,0,5,147,513,1272,665,1156,725,110,567,0,10,188,25,52,75,92,81,11,4,0,2,70,254,450,181,0,107,408,88,73,63,53,61,38.02,12.39,-34.15,-2.01
Canton Creek,57,43.4137,-122.7804,503,8.9,15.9,27.9,18.4,0.9,3.9,11.1,6,4.9,9.9,19.5,12.2,344,322,47,219,-9999,-9999,-9999,-9999,57,15,0,6,143,493,1336,675,1171,762,94,567,0,12,235,31,51,72,92,81,14,6,0,3,70,257,471,182,0,107,423,90,73,62,52,62,42.36,14.33,-37.79,-0.37
Rock Creek,11,43.37876,-122.9521,295,9.3,17.3,28.8,18.9,1.1,4.5,11.1,5.7,5.2,10.9,20,12.3,377,323,42,239,-9999,-9999,-9999,-9999,53,11,0,5,154,566,1377,686,1148,678,75,554,0,18,257,31,52,75,92,81,13,4,0,3,72,273,488,190,0,114,447,93,72,60,50,60,46.67,12.33,-40.1,0.67
O'Neil Creek,9,41.80979,-123.1189,487,10,17.8,31.5,20.9,0.6,3.9,12.8,6.1,5.3,10.8,22.2,13.5,254,255,25,181,-9999,-9999,-9999,-9999,52,13,0,4,165,572,1581,790,1139,687,41,481,0,22,428,64,49,70,92,80,8,4,0,2,83,293,539,219,0,118,515,134,68,57,49,56,25.11,3.83,-50.9,-10.01
Deep Creek,8,41.66546,-123.1134,694,10.5,18.6,33,22.1,0.4,4.5,14.2,7.1,5.5,11.5,23.6,14.6,75,71,22,68,-9999,-9999,-9999,-9999,49,11,0,3,175,631,1711,888,1123,636,25,411,0,32,544,97,47,73,92,82,2,1,0,1,87,304,559,228,34,232,537,172,66,57,49,55,1.38,-16.65,-56.66,-24.4
Little Jameson Creek,7,39.74298,-120.704,1592,8.8,13.7,27.7,18.7,-2.7,0.6,10.3,3.5,3.1,7.1,19,11.1,277,622,11,163,-9999,-9999,-9999,-9999,95,42,0,9,88,327,1292,595,1336,1010,107,657,0,2,203,28,26,49,91,67,21,119,0,6,90,255,488,215,0,59,476,165,60,57,50,54,30.97,45.76,-46.42,-10.56
Oregon Creek,6,39.39704,-121.082,448,16.1,20.7,34.3,26.2,3.7,7.1,15.9,9.8,9.9,13.9,25.1,18,361,651,4,257,-9999,-9999,-9999,-9999,15,5,0,1,458,823,1851,1175,723,443,9,216,4,57,665,202,73,85,92,89,2,2,0,1,128,330,587,277,0,124,584,185,61,59,50,53,33.01,38.72,-60.63,-13.38
Rainbow Pool,29,37.81878,-120.0073,833,14.9,17.9,31.6,23.3,2.5,5.2,14.8,8.2,8.7,11.6,23.2,15.7,208,488,3,214,-9999,-9999,-9999,-9999,21,9,0,2,372,623,1671,974,832,625,21,331,2,19,495,115,64,78,92,86,2,5,0,1,129,300,542,259,12,119,539,190,60,61,53,55,15.44,26.91,-52.77,-11.91
Carlon,28,37.81006,-119.8568,1320,13,15.7,29.1,21.3,1.2,3.6,13.4,6.9,7.1,9.6,21.2,14.1,207,544,4,206,-9999,-9999,-9999,-9999,33,16,0,3,272,479,1495,835,972,784,46,438,0,5,346,73,54,70,92,82,4,18,0,2,119,274,499,242,12,96,495,173,61,62,55,56,17.06,35.22,-47.28,-10.49
Buck Meadows,27,37.77722,-120.0633,830,15.3,18.4,32.1,23.7,2.7,5.6,15,8.5,9,12,23.6,16.1,218,480,3,230,-9999,-9999,-9999,-9999,19,8,0,1,395,659,1706,1007,803,589,18,310,3,23,522,128,66,80,92,87,2,4,0,1,132,307,553,264,10,125,550,193,60,60,52,55,16.09,25.23,-54.77,-11.36
Wawona,5,37.53822,-119.6514,1208,14,16.8,30.4,22.4,1.5,4.2,14.2,7.3,7.8,10.5,22.3,14.9,222,554,7,232,-9999,-9999,-9999,-9999,27,13,0,2,313,544,1592,899,911,714,30,392,0,10,427,96,56,73,92,83,3,11,0,1,127,291,523,255,8,102,517,172,60,60,54,55,17.49,34.46,-50.6,-10.14
