Site,Paper_ID,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at,CMI_wt,CMI_sp,CMI_sm,CMI_at
Coast Fork of Williamette,55,43.6517,-123.088,254,9.7,17.5,26.3,17.4,2.1,5.5,10.5,7.1,5.9,11.5,18.4,12.3,756,373,66,501,-9999,-9999,-9999,-9999,48,7,0,4,192,604,1232,671,1093,626,116,549,0,13,154,24,61,82,92,86,26,2,0,2,72,266,439,164,0,69,373,70,75,62,54,68,46.21,17.66,-30.28,30.64
Canton Creek,57,43.4137,-122.7804,503,8.9,17,27.2,17,1.6,5,10.8,6.9,5.2,11,19,11.9,871,416,82,530,-9999,-9999,-9999,-9999,58,10,0,5,164,568,1291,650,1153,672,95,581,0,12,192,28,56,79,92,84,42,4,0,3,69,266,456,164,0,76,374,73,75,62,53,68,55.33,21.83,-32.23,33.65
Rock Creek,11,43.37876,-122.9521,295,9.4,18.4,28.2,17.7,1.9,5.6,10.9,6.7,5.7,12,19.5,12.2,979,417,75,594,-9999,-9999,-9999,-9999,53,7,0,4,187,650,1336,671,1115,586,76,558,0,20,218,29,59,82,92,85,43,2,0,3,72,284,475,172,0,85,400,80,75,60,51,66,60.95,19.93,-34.93,38.96
O'Neil Creek,9,41.80979,-123.1189,487,9.1,18.8,31,18.5,0.9,4.9,12.7,6.5,5,11.8,21.8,12.5,774,332,33,455,-9999,-9999,-9999,-9999,63,8,0,5,160,644,1550,706,1176,603,34,558,0,22,387,56,51,78,92,83,44,3,0,4,79,301,529,194,0,140,496,106,72,57,49,63,50.09,10.02,-48.23,22.16
Deep Creek,8,41.66546,-123.1134,694,9.4,19.6,32.5,19.6,0.7,5.5,14.1,7.5,5.1,12.5,23.3,13.6,224,84,31,149,-9999,-9999,-9999,-9999,63,7,0,4,170,706,1680,791,1168,546,20,495,0,33,505,83,49,81,92,84,13,0,0,1,82,312,549,203,20,227,518,114,71,57,50,63,8.8,-16.92,-53.71,-10.87
Little Jameson Creek,7,39.74298,-120.704,1592,7.2,14.4,27.1,16.8,-2.5,1.7,9.7,3.7,2.3,8,18.4,10.2,753,540,15,446,-9999,-9999,-9999,-9999,126,22,0,12,71,350,1232,529,1414,923,114,732,0,0,152,23,25,58,91,69,119,29,0,8,83,257,479,196,0,52,465,106,66,59,50,59,70.57,36.43,-44.38,22.01
Oregon Creek,6,39.39704,-121.082,448,14.3,21.5,34,24,3.6,8.4,15.4,9.5,9,15,24.7,16.7,804,627,7,492,-9999,-9999,-9999,-9999,24,2,0,1,383,904,1812,1063,831,351,8,292,4,61,626,165,70,90,92,88,10,0,0,1,117,332,585,253,0,102,578,134,66,60,49,58,68.03,35.63,-59.62,15.69
Rainbow Pool,29,37.81878,-120.0073,833,12.7,18.8,31.7,22,1.4,6.3,14.5,7.7,7,12.6,23.1,14.8,605,413,10,252,-9999,-9999,-9999,-9999,39,5,0,2,266,698,1663,898,995,535,17,383,0,20,479,87,54,85,92,85,17,1,0,1,119,306,546,246,0,110,537,121,63,61,52,57,39,17.8,-52.64,-5.24
Carlon,28,37.81006,-119.8568,1320,10.7,16.6,29.1,20,-0.2,4.6,13.1,6.4,5.3,10.6,21.1,13.2,644,443,12,282,-9999,-9999,-9999,-9999,62,9,0,4,179,534,1484,758,1153,702,39,499,0,4,325,51,42,78,92,80,38,3,0,1,109,280,502,229,0,83,490,113,64,62,55,58,45.91,23.79,-46.85,0.4
Buck Meadows,27,37.77722,-120.0633,830,13.2,19.4,32.2,22.4,1.7,6.7,14.8,8,7.4,13,23.5,15.2,612,420,10,256,-9999,-9999,-9999,-9999,35,4,0,2,289,738,1700,929,957,497,14,359,0,25,516,98,57,86,92,85,14,1,0,1,122,313,558,251,0,118,549,123,63,61,52,57,38.57,17.55,-54.76,-5.79
