Site,Paper_ID,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at,CMI_wt,CMI_sp,CMI_sm,CMI_at
Wawona,5,37.53822,-119.6514,1208,11.9,17.8,30.5,21.4,0.4,5,13.9,7,6.2,11.4,22.2,14.2,727,484,15,245,-9999,-9999,-9999,-9999,48,7,0,3,219,602,1584,845,1071,632,25,429,0,10,410,74,47,79,92,82,27,2,0,1,117,298,527,244,0,88,513,120,62,60,53,57,53.86,25.78,-50.34,-6.27
Redwood Creek,4,36.68952,-118.9096,1677,9.6,14.1,27,18.3,-1.8,3.1,12.8,5.6,3.9,8.6,19.9,12,566,393,20,220,-9999,-9999,-9999,-9999,87,17,0,6,123,385,1373,656,1273,874,60,585,0,0,242,31,31,67,92,77,49,11,0,3,109,253,463,217,0,64,443,105,61,64,59,61,53.56,22.85,-40.47,-2.77
North Fork Middle Fork Tule,3,36.20081,-118.6509,1284,11.4,17,30.3,20.8,2.6,6.8,16.1,9.1,7,11.9,23.2,14.9,485,256,11,108,-9999,-9999,-9999,-9999,39,6,0,2,267,646,1672,908,996,590,15,375,0,15,487,88,62,86,92,88,12,1,0,0,112,277,505,234,0,101,494,142,70,68,60,64,44.29,5.48,-47.33,-16.92
South Fork Middle Fork Tule,58,36.13756,-118.5741,1664,10.2,14.9,27.3,18.4,-1,3.2,12.8,5.8,4.6,9,20.1,12.1,519,262,12,112,-9999,-9999,-9999,-9999,72,13,0,5,148,415,1387,664,1211,833,56,571,0,0,252,29,36,69,92,79,33,5,0,1,114,267,472,221,0,90,459,131,62,62,58,61,50.74,8.16,-42.23,-13.75
West Fork Mojave River,2,34.28425,-117.3754,1087,15.1,20.6,32.3,23,3.7,7.1,15.9,10.8,9.4,13.8,24.1,16.9,406,199,7,134,-9999,-9999,-9999,-9999,21,2,0,1,420,807,1753,1079,793,428,10,246,5,31,567,136,71,88,92,90,4,0,0,0,150,345,564,262,0,163,557,133,64,59,54,63,34.49,-7.54,-55.36,-17.37
Mill Creek,12,34.07808,-116.8756,1992,9,13.8,25.5,16.9,-3.2,0.7,11.1,4.2,2.9,7.3,18.3,10.6,467,240,8,174,-9999,-9999,-9999,-9999,113,21,0,8,96,290,1222,544,1367,989,113,690,0,0,141,13,21,50,92,72,59,10,0,3,119,270,455,219,0,84,447,84,58,58,58,60,58.57,7.36,-39.75,-5.47
Whitewater Canyon,17,33.99329,-116.6627,696,18.1,24.6,36.7,27.2,6.5,10.5,19.7,13.9,12.3,17.6,28.2,20.6,160,60,3,42,-9999,-9999,-9999,-9999,9,1,0,0,649,1144,2127,1407,546,186,2,103,27,133,936,324,85,92,92,91,0,0,0,0,169,396,630,303,50,336,627,262,64,58,54,61,2.07,-27.56,-67.8,-34.05
Sweetwater River,1,32.89913,-116.5865,1386,13.5,17.9,29.9,22.4,2.2,5.1,14.1,8.7,7.9,11.5,22,15.6,284,131,8,75,-9999,-9999,-9999,-9999,30,5,0,1,319,607,1562,961,916,623,27,317,2,6,390,87,61,81,92,88,5,0,0,0,148,314,530,276,39,183,522,200,63,60,55,59,26.41,-10.39,-49.36,-24.49
Kitchen Creek,15,32.75206,-116.4522,1173,15.3,19.6,31.7,24,2,4.1,12.2,7.7,8.6,11.9,21.9,15.8,213,95,10,48,-9999,-9999,-9999,-9999,24,4,0,1,364,636,1557,983,857,589,29,298,2,6,388,90,59,77,92,86,3,0,0,0,166,353,589,304,54,258,579,256,58,53,47,52,12.34,-18,-57.42,-31.73
Hauser Creek,14,32.65822,-116.5323,788,17.9,22,33.6,26.3,3,5.3,12.9,8.6,10.4,13.6,23.3,17.4,157,55,8,36,-9999,-9999,-9999,-9999,15,2,0,1,495,789,1680,1124,699,443,16,212,8,24,495,148,66,82,92,88,1,0,0,0,187,387,628,331,77,331,619,295,54,50,44,49,-1.43,-25.42,-62.65,-37.28
