Site,Paper_ID,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at,CMI_wt,CMI_sp,CMI_sm,CMI_at
Coast Fork of Williamette,55,43.6517,-123.088,254,8.7,14.8,24.4,18.8,0.2,3.6,10,6.5,4.4,9.2,17.2,12.7,507,569,123,429,-9999,-9999,-9999,-9999,65,15,0,5,115,426,1126,710,1219,821,185,536,0,1,117,43,45,72,91,83,23,14,0,5,70,239,404,186,0,28,282,105,71,64,58,62,60.2,41.24,-19.99,19.85
Canton Creek,57,43.4137,-122.7804,503,8.4,14.6,25.5,19,0,3,10.3,6.6,4.2,8.8,17.9,12.8,545,633,144,484,-9999,-9999,-9999,-9999,68,19,0,6,112,407,1193,728,1236,857,162,544,0,2,160,62,44,68,91,82,27,24,0,8,69,243,426,191,0,36,289,111,71,63,56,62,69.73,47.24,-21.84,23.98
Rock Creek,11,43.37876,-122.9521,295,8.7,15.9,26.4,19.5,0.3,3.6,10.4,6.3,4.5,9.8,18.4,12.9,573,623,132,538,-9999,-9999,-9999,-9999,64,15,0,5,123,478,1234,737,1213,772,137,531,0,5,176,59,45,72,91,83,25,14,0,8,71,259,444,198,0,52,312,114,71,61,54,61,75.08,44.36,-24.75,28.59
O'Neil Creek,9,41.80979,-123.1189,487,9.6,16.6,29.9,21.5,-0.8,3.1,11.4,6.9,4.4,9.8,20.7,14.2,388,348,41,281,-9999,-9999,-9999,-9999,65,18,0,5,125,500,1446,857,1222,773,86,471,0,12,332,117,37,67,91,82,19,14,0,5,84,280,515,228,0,130,474,129,65,58,48,57,55.86,14.9,-45.47,-2.46
Deep Creek,8,41.66546,-123.1134,694,10.1,17.4,31.4,22.7,-1,3.7,12.8,7.9,4.6,10.5,22.1,15.3,111,82,37,94,-9999,-9999,-9999,-9999,62,16,0,4,135,556,1574,953,1205,717,59,409,0,20,438,156,36,71,92,84,5,2,0,1,88,291,535,238,13,210,499,185,63,58,49,57,10.84,-13.77,-50.94,-24.24
Little Jameson Creek,7,39.74298,-120.704,1592,8.5,13.8,26.6,19.1,-3.6,0.7,9.2,5,2.4,7.2,17.9,12,464,652,82,332,-9999,-9999,-9999,-9999,108,36,0,10,66,325,1192,679,1396,999,155,606,0,2,152,57,19,50,91,73,50,87,0,12,90,259,473,219,21,87,391,131,58,58,50,57,80.79,48.17,-36.95,5.12
Oregon Creek,6,39.39704,-121.082,448,15.7,20.4,33.4,25.9,2.8,7.3,14.9,10.5,9.3,13.9,24.1,18.2,455,740,44,430,-9999,-9999,-9999,-9999,18,5,0,1,407,819,1761,1199,785,448,16,239,1,58,577,248,66,87,92,89,3,2,0,1,127,326,573,275,12,131,528,142,59,60,50,55,72.99,48.04,-53.9,3.98
Rainbow Pool,29,37.81878,-120.0073,833,13.8,18.4,31,23.3,1.2,5.2,14.3,8.8,7.5,11.8,22.6,16,222,361,24,201,-9999,-9999,-9999,-9999,29,8,0,2,289,648,1621,1008,944,606,31,336,0,27,459,152,53,79,92,86,3,3,0,1,125,311,533,261,33,132,508,172,59,59,53,57,41.46,12.79,-49.24,-13.8
Carlon,28,37.81006,-119.8568,1320,11.9,16.4,28.5,21.4,-0.2,3.6,12.9,7.5,5.9,10,20.7,14.5,248,377,26,200,-9999,-9999,-9999,-9999,45,14,0,4,198,508,1446,875,1087,754,66,436,0,11,316,107,42,70,92,83,6,7,0,2,114,288,492,244,32,116,466,150,60,60,55,58,46.92,17.01,-44.04,-11.28
Buck Meadows,27,37.77722,-120.0633,830,14.2,18.9,31.5,23.7,1.4,5.5,14.5,9,7.8,12.2,23,16.4,217,364,25,208,-9999,-9999,-9999,-9999,26,7,0,2,311,678,1656,1037,912,576,27,317,0,32,490,163,55,80,92,87,2,2,0,1,128,317,543,265,33,137,519,178,59,59,53,57,40.51,12.25,-51.05,-14.12
