Site,Paper_ID,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at,CMI_wt,CMI_sp,CMI_sm,CMI_at
Coast Fork of Williamette,55,43.6517,-123.088,254,11.6,17.6,28.2,18.2,3.4,5.3,11.7,6.2,7.5,11.4,20,12.2,471,227,51,258,-9999,-9999,-9999,-9999,30,5,0,9,273,594,1378,691,949,619,57,564,0,10,244,34,70,81,92,80,6,1,0,7,79,264,470,179,0,65,418,58,73,61,53,63,56.11,2.62,-36.09,4.75
Canton Creek,57,43.4137,-122.7804,503,11.2,17.4,29.1,18.2,3.2,4.7,12.3,6.2,7.2,11.1,20.7,12.2,506,253,49,277,-9999,-9999,-9999,-9999,32,6,0,11,263,567,1446,701,969,654,42,573,0,9,294,42,69,78,92,78,8,2,0,10,78,267,484,181,0,61,435,60,73,60,53,63,65.28,4.86,-39.73,5.86
Rock Creek,11,43.37876,-122.9521,295,11.6,18.7,30,18.7,3.5,5.4,12.3,6.1,7.6,12,21.2,12.4,570,242,47,296,-9999,-9999,-9999,-9999,30,4,0,10,283,647,1486,713,942,566,34,557,0,16,322,43,71,81,92,79,8,1,0,9,80,284,503,189,0,84,456,67,73,59,51,61,75.04,1.71,-42.08,6.86
O'Neil Creek,9,41.80979,-123.1189,487,11.8,19.6,31.6,20.4,3.1,4.7,13.7,6.6,7.4,12.2,22.7,13.5,517,187,66,111,-9999,-9999,-9999,-9999,31,4,0,10,281,662,1623,812,953,560,17,497,0,16,438,81,68,78,92,78,7,0,0,3,89,309,535,215,0,137,468,139,72,54,50,58,58.78,-6.48,-45.75,-15.81
Deep Creek,8,41.66546,-123.1134,694,12.3,20.5,32.9,21.6,2.9,5.3,15,7.5,7.6,12.9,24,14.5,143,62,68,41,-9999,-9999,-9999,-9999,30,3,0,8,295,727,1743,903,939,501,10,438,0,26,556,121,67,81,92,79,2,0,0,1,94,322,552,224,12,260,484,182,69,54,51,58,7.2,-21.21,-50.44,-25.61
Little Jameson Creek,7,39.74298,-120.704,1592,10.2,16.1,27.1,17.8,-0.5,1.5,10.5,3.8,4.8,8.8,18.8,10.8,566,137,52,195,-9999,-9999,-9999,-9999,65,11,0,30,151,389,1271,628,1187,849,89,700,0,0,167,38,39,57,92,65,38,4,0,21,97,278,473,209,34,141,421,112,64,54,52,56,38.9,-6.98,-39.6,-5.57
Oregon Creek,6,39.39704,-121.082,448,16.9,23,33.9,25.2,5.6,8.3,16.2,9.7,11.2,15.7,25,17.4,649,155,20,244,-9999,-9999,-9999,-9999,12,1,0,3,551,970,1841,1140,624,288,6,299,11,66,653,239,82,91,92,83,3,0,0,2,130,354,573,268,44,202,553,166,64,56,52,55,29.2,-14.83,-56.41,-12.55
Rainbow Pool,29,37.81878,-120.0073,833,15.1,19.8,30.9,22.2,3.7,6.4,14.6,8.1,9.4,13.1,22.8,15.2,351,205,19,260,-9999,-9999,-9999,-9999,18,2,0,6,416,742,1635,949,784,485,16,406,3,20,450,143,72,87,92,78,3,0,0,5,130,318,529,250,40,122,510,132,64,59,54,58,25.86,-4.74,-48.65,-4.61
Carlon,28,37.81006,-119.8568,1320,13.4,17.6,28.3,20.2,2.3,4.8,13.2,6.7,7.8,11.2,20.8,13.4,317,255,31,257,-9999,-9999,-9999,-9999,29,4,0,11,312,579,1450,815,917,636,40,510,0,4,296,91,62,81,92,74,5,2,0,9,121,290,484,233,39,62,452,108,64,60,57,59,26.9,2.64,-41.91,-2.14
Buck Meadows,27,37.77722,-120.0633,830,15.5,20.3,31.6,22.7,3.9,6.8,14.9,8.4,9.7,13.5,23.2,15.6,372,194,17,282,-9999,-9999,-9999,-9999,17,2,0,5,438,780,1676,982,756,450,13,384,4,25,490,158,74,88,92,79,2,0,0,5,133,325,541,255,40,138,524,135,63,58,53,57,26.58,-6.73,-51.12,-3.62
Wawona,5,37.53822,-119.6514,1208,14.3,18.6,29.7,21.4,2.8,5.2,14.1,7.2,8.6,11.9,21.9,14.3,376,215,34,265,-9999,-9999,-9999,-9999,23,4,0,8,359,641,1554,880,851,580,25,461,0,8,371,118,66,82,92,75,4,1,0,7,128,306,508,246,28,98,475,129,63,58,56,57,32.81,-3.05,-45.25,-3.52
Redwood Creek,4,36.68952,-118.9096,1677,12,15.2,26.1,18.1,0.7,3.6,12.7,5.9,6.3,9.4,19.4,12,315,107,27,261,-9999,-9999,-9999,-9999,44,8,0,17,229,434,1325,704,1054,793,71,610,0,0,204,58,49,73,92,70,12,2,0,12,120,262,442,217,21,155,415,97,63,63,61,61,20.79,-8.22,-36.58,2.12
North Fork Middle Fork Tule,3,36.20081,-118.6509,1284,14.1,18.3,29.3,20.8,5,7.4,15.8,9.6,9.5,12.8,22.6,15.2,350,117,30,212,-9999,-9999,-9999,-9999,19,3,0,6,431,720,1613,956,774,508,18,412,5,18,428,154,79,89,92,82,4,0,0,3,125,290,483,235,0,173,453,119,70,66,61,65,15.58,-10.67,-41.9,-6.3
South Fork Middle Fork Tule,58,36.13756,-118.5741,1664,12.9,16.1,26.3,18.5,1.4,3.7,12.5,6.2,7.1,9.9,19.4,12.3,401,136,42,229,-9999,-9999,-9999,-9999,36,7,0,14,276,475,1325,725,981,746,72,584,0,0,205,62,55,74,92,72,11,2,0,7,128,280,451,223,0,144,410,111,63,60,60,62,20.44,-7.41,-36.11,-1.68
West Fork Mojave River,2,34.28425,-117.3754,1087,16.2,21.3,31,23.1,5.8,7.2,15.5,11.2,11,14.2,23.3,17.1,455,108,59,175,-9999,-9999,-9999,-9999,12,1,0,2,540,846,1678,1106,646,392,14,291,10,34,493,202,84,89,92,87,2,0,0,1,151,354,536,263,0,247,477,96,67,57,56,64,20.48,-18.14,-45.3,-13.68
Mill Creek,12,34.07808,-116.8756,1992,10.1,14.5,24.2,16.8,-1.1,1,10.8,4.6,4.5,7.7,17.5,10.7,466,166,128,216,-9999,-9999,-9999,-9999,69,13,0,21,146,309,1149,599,1215,947,153,697,0,0,107,32,35,53,92,67,29,6,0,7,123,277,429,219,0,111,302,46,62,57,60,61,28.25,-1.22,-24.14,-0.53
Whitewater Canyon,17,33.99329,-116.6627,696,19.3,25.1,35.4,26.9,8.6,10.7,19.4,14.4,14,17.9,27.4,20.6,147,53,58,64,-9999,-9999,-9999,-9999,5,0,0,1,789,1179,2055,1418,416,156,2,167,44,141,864,395,90,92,92,90,0,0,0,0,171,401,601,300,53,348,543,236,67,58,56,63,-10.98,-29.27,-56.62,-31.62
Sweetwater River,1,32.89913,-116.5865,1386,14.5,18.4,28.8,22.2,3.7,5.6,14.1,9.2,9.1,12,21.5,15.7,214,213,86,109,-9999,-9999,-9999,-9999,20,3,0,3,397,643,1514,986,806,580,34,357,1,9,352,142,72,84,92,83,2,1,0,1,150,318,503,273,46,108,418,165,65,60,58,61,-2.54,-2.96,-37.46,-20.58
Kitchen Creek,15,32.75206,-116.4522,1173,16.2,20.1,30.6,23.7,3.3,4.4,12.2,8.1,9.8,12.3,21.4,15.9,163,171,88,75,-9999,-9999,-9999,-9999,16,3,0,3,444,668,1509,1000,753,556,35,341,4,10,349,142,70,79,92,81,1,1,0,0,169,356,564,301,67,184,476,225,59,53,49,54,-8.03,-11.08,-45.24,-28.32
