Site,Paper_ID,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at,CMI_wt,CMI_sp,CMI_sm,CMI_at
Coast Fork of Williamette,55,43.6517,-123.088,254,7.1,15.5,27,17.6,-0.2,4.7,11.2,6.4,3.4,10.1,19.1,12,662,469,45,446,-9999,-9999,-9999,-9999,90,10,0,7,91,493,1300,664,1314,746,101,589,0,8,206,40,42,79,92,81,46,5,0,7,62,244,448,172,0,41,403,21,75,66,55,65,47.33,30.39,-34.09,24.53
Canton Creek,57,43.4137,-122.7804,503,6.6,15.1,28.1,17.3,-0.6,4,11.8,6.3,3,9.6,20,11.8,756,506,48,501,-9999,-9999,-9999,-9999,99,13,0,9,81,462,1377,654,1350,791,80,614,0,9,260,45,39,75,92,79,65,9,0,11,61,246,468,172,0,49,421,9,75,65,53,66,51.34,33.9,-37.89,30.07
Rock Creek,11,43.37876,-122.9521,295,7.1,16.5,29,17.9,-0.2,4.7,11.7,6.1,3.4,10.6,20.4,12,839,490,45,531,-9999,-9999,-9999,-9999,92,10,0,8,95,539,1415,669,1315,702,65,595,0,14,284,46,42,79,92,79,64,5,0,10,63,263,486,180,0,62,442,21,75,63,51,63,58.07,30.22,-40.16,31.96
O'Neil Creek,9,41.80979,-123.1189,487,7,17.5,31.8,19.3,-1,4.1,13.7,6.3,3,10.8,22.7,12.8,839,279,42,270,-9999,-9999,-9999,-9999,99,9,0,8,83,566,1633,744,1354,683,29,545,0,20,469,67,35,75,92,79,71,3,0,6,69,288,538,203,0,114,496,88,72,59,50,60,64.33,6.62,-49.4,2.47
Deep Creek,8,41.66546,-123.1134,694,7.4,18.4,33.3,20.5,-1.2,4.7,15.1,7.3,3.1,11.6,24.2,13.9,238,77,34,95,-9999,-9999,-9999,-9999,96,8,0,6,91,630,1767,836,1340,621,17,478,0,28,589,98,34,78,92,81,20,0,0,2,73,300,559,212,0,223,526,147,70,58,50,60,13.39,-16.23,-56.01,-17.61
Little Jameson Creek,7,39.74298,-120.704,1592,5.2,14.6,27.8,17.3,-3.4,1,11,4,0.9,7.8,19.4,10.6,1640,476,30,413,-9999,-9999,-9999,-9999,162,23,0,12,37,350,1328,562,1537,948,91,695,0,3,225,21,20,52,92,69,326,33,0,18,50,264,485,199,0,107,455,92,68,57,52,59,132.11,30.05,-44.37,17.46
Oregon Creek,6,39.39704,-121.082,448,12.5,21.3,34.6,24.7,2.8,7.8,16.7,9.9,7.6,14.6,25.6,17.3,1665,545,21,449,-9999,-9999,-9999,-9999,29,3,0,1,296,876,1898,1118,934,393,7,261,0,67,711,191,65,89,92,89,23,1,0,2,103,334,585,260,0,137,565,137,68,59,51,57,122.76,27.16,-59.15,9.71
Rainbow Pool,29,37.81878,-120.0073,833,11,18.7,31.8,22.5,1.2,6,15.2,8.2,6.1,12.3,23.5,15.3,1249,284,17,219,-9999,-9999,-9999,-9999,43,5,0,2,208,686,1697,939,1070,551,19,340,0,23,520,91,53,83,92,86,34,1,0,1,105,308,543,249,0,131,525,135,67,61,54,57,95.06,4.66,-51.62,-9.3
Carlon,28,37.81006,-119.8568,1320,9,16.6,29.2,20.6,-0.3,4.3,13.7,6.8,4.3,10.4,21.5,13.7,1382,324,19,227,-9999,-9999,-9999,-9999,69,9,0,3,127,530,1516,801,1229,712,43,451,0,9,362,51,41,76,92,83,82,4,0,2,94,283,499,232,0,113,480,113,68,61,56,58,110.04,11.74,-45.9,-6.11
Buck Meadows,27,37.77722,-120.0633,830,11.5,19.2,32.3,23,1.6,6.4,15.4,8.5,6.5,12.8,23.9,15.7,1230,275,17,222,-9999,-9999,-9999,-9999,38,4,0,2,232,722,1736,974,1031,519,16,320,0,30,552,105,56,85,92,87,27,1,0,1,107,313,554,254,0,137,536,136,67,60,53,57,92.29,3,-53.77,-10
