"Site","Year","SiteYear","Latitude","Longitude","Elevation","Region","RegionRank","lambda","surv.int","surv.slope","growth.int","growth.slope","growth.sd","flowering.int","flowering.slope","fruit.int","fruit.slope","recruit.size.mean","recruit.size.sd","seed.ct","recruit.number","fruits.per.site","total.seeds.per.site","establishment.prob"
"Hauser Creek","2010","Hauser Creek:2010",32.65822,-116.5323,788,"S1",1,0.1,-4.46,0.5,1.94,0.49,1.1,-6.15,1.85,0.4,0.57,0,0,1666,0,209,348194,0
"Hauser Creek","2011","Hauser Creek:2011",32.65822,-116.5323,788,"S1",1,0.22,-3.38,0.5,2.05,0.51,1.1,-7.28,1.85,0.94,0.39,0,0,1666,0,13,21658,0
"Hauser Creek","2018","Hauser Creek:2018",32.65822,-116.5323,788,"S1",1,1.95,-3.75,0.5,2.17,0.53,1.1,-5.5,1.85,0.01,0.66,2.33,0.73,1666,123,169,281554,0.000436861134986539
"Hauser Creek","2012","Hauser Creek:2012",32.65822,-116.5323,788,"S1",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hauser Creek","2013","Hauser Creek:2013",32.65822,-116.5323,788,"S1",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hauser Creek","2014","Hauser Creek:2014",32.65822,-116.5323,788,"S1",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hauser Creek","2015","Hauser Creek:2015",32.65822,-116.5323,788,"S1",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hauser Creek","2016","Hauser Creek:2016",32.65822,-116.5323,788,"S1",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hauser Creek","2017","Hauser Creek:2017",32.65822,-116.5323,788,"S1",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kitchen Creek","2010","Kitchen Creek:2010",32.75206,-116.4522,1173,"S1",1,0.77,-2.61,0.5,1.49,0.54,1.1,-6.7,1.85,-0.78,0.83,1.17,1.25,2514,20,47,118158,0.000169264882614804
