"Site","Year","SiteYear","Region","Fec1","SeedCt"
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"Wawona",2013,"Wawona:2013","C2",NA,NA
"West Fork Mojave River",2010,"West Fork Mojave River:2010","S2",NA,NA
"West Fork Mojave River",2010,"West Fork Mojave River:2010","S2",NA,NA
"West Fork Mojave River",2010,"West Fork Mojave River:2010","S2",NA,NA
"West Fork Mojave River",2010,"West Fork Mojave River:2010","S2",NA,NA
"West Fork Mojave River",2010,"West Fork Mojave River:2010","S2",NA,NA
"West Fork Mojave River",2010,"West Fork Mojave River:2010","S2",NA,NA
"West Fork Mojave River",2010,"West Fork Mojave River:2010","S2",NA,NA
"West Fork Mojave River",2010,"West Fork Mojave River:2010","S2",NA,NA
"West Fork Mojave River",2010,"West Fork Mojave River:2010","S2",NA,NA
"West Fork Mojave River",2010,"West Fork Mojave River:2010","S2",NA,NA
"West Fork Mojave River",2010,"West Fork Mojave River:2010","S2",NA,NA
"West Fork Mojave River",2010,"West Fork Mojave River:2010","S2",NA,NA
"West Fork Mojave River",2010,"West Fork Mojave River:2010","S2",NA,NA
"West Fork Mojave River",2010,"West Fork Mojave River:2010","S2",NA,NA
"West Fork Mojave River",2010,"West Fork Mojave River:2010","S2",NA,NA
"West Fork Mojave River",2010,"West Fork Mojave River:2010","S2",NA,NA
"West Fork Mojave River",2010,"West Fork Mojave River:2010","S2",NA,NA
"West Fork Mojave River",2010,"West Fork Mojave River:2010","S2",NA,NA
"West Fork Mojave River",2010,"West Fork Mojave River:2010","S2",NA,NA
"West Fork Mojave River",2010,"West Fork Mojave River:2010","S2",NA,NA
