log10BF,env1,env2,env3,env4,env5,env6,env7,env8,env9,total,unique
>30 all win,26,74,34,25,45,23,27,72,36,362,254
>30,0,1,4,3,1,0,0,2,2,13,12
>20,11,13,18,6,5,3,6,18,10,90,65
>10,53,77,92,73,52,38,58,89,51,583,373
>5,141,149,220,174,120,99,132,192,98,1325,796
>2,206,212,340,293,197,159,223,273,164,2067,1201
