log10BF,env1 win,env2 win,env3 win,env4 win,env5 win,env6 win,env7 win,env8 win,env9 win
any,19,14,30,24,12,11,23,18,19
>30,0,1,3,3,1,0,0,2,2
>20,6,6,8,4,3,2,3,11,8
>10,17,14,23,20,12,10,21,17,15
>5,19,14,29,24,12,11,23,17,17
>2,19,14,30,24,12,11,23,17,17
