Site,ID,Region,Latitude,Longitude,Elevation,Class,Fec1,logSize,ClassNext,logSizeNext,Surv,Year,Fec0,RegionRank,SeedCt,NotAnIndividual,Reasoning,NotARecruit,Reasoning
Bear Creek,58968,C1,36.20696,-118.7269,1119,J,NA,-0.69,J,2.56,1,2012,0,3,NA,0,,NA,
Bear Creek,58950,C1,36.20696,-118.7269,1119,J,NA,0.69,J,1.79,1,2012,0,3,NA,0,,NA,
Bear Creek,58972,C1,36.20696,-118.7269,1119,J,NA,0.69,J,1.79,1,2012,0,3,NA,0,,NA,
Bear Creek,58966,C1,36.20696,-118.7269,1119,J,NA,1.1,D,NA,0,2012,0,3,NA,0,,NA,
Bear Creek,58975,C1,36.20696,-118.7269,1119,J,NA,1.1,D,NA,0,2012,0,3,NA,0,,NA,
Bear Creek,58970,C1,36.20696,-118.7269,1119,J,NA,1.39,J,1.95,1,2012,0,3,NA,0,,NA,
Bear Creek,58936,C1,36.20696,-118.7269,1119,J,NA,1.39,D,NA,0,2012,0,3,NA,0,,NA,
Bear Creek,58974,C1,36.20696,-118.7269,1119,J,NA,1.39,D,NA,0,2012,0,3,NA,0,,NA,
Bear Creek,58985,C1,36.20696,-118.7269,1119,J,NA,1.39,D,NA,0,2012,0,3,NA,0,,NA,
Bear Creek,58948,C1,36.20696,-118.7269,1119,J,NA,1.61,J,2.3,1,2012,0,3,NA,0,,NA,
Bear Creek,58969,C1,36.20696,-118.7269,1119,J,NA,1.61,D,NA,0,2012,0,3,NA,0,,NA,
Bear Creek,58979,C1,36.20696,-118.7269,1119,J,NA,1.61,D,NA,0,2012,0,3,NA,0,,NA,
Bear Creek,58991,C1,36.20696,-118.7269,1119,J,NA,1.79,A,2.94,1,2012,0,3,NA,0,,NA,
Bear Creek,58967,C1,36.20696,-118.7269,1119,J,NA,1.79,J,3.33,1,2012,0,3,NA,0,,NA,
Bear Creek,58964,C1,36.20696,-118.7269,1119,J,NA,1.79,D,NA,0,2012,0,3,NA,0,,NA,
Bear Creek,58946,C1,36.20696,-118.7269,1119,J,NA,1.95,J,2.4,1,2012,0,3,NA,0,,NA,
Bear Creek,58980,C1,36.20696,-118.7269,1119,J,NA,1.95,J,2.56,1,2012,0,3,NA,0,,NA,
Bear Creek,58952,C1,36.20696,-118.7269,1119,J,NA,1.95,J,3.83,1,2012,0,3,NA,0,,NA,
Bear Creek,58956,C1,36.20696,-118.7269,1119,J,NA,2.08,D,NA,0,2012,0,3,NA,0,,NA,
Bear Creek,58958,C1,36.20696,-118.7269,1119,J,NA,2.08,D,NA,0,2012,0,3,NA,0,,NA,
Bear Creek,58989,C1,36.20696,-118.7269,1119,J,NA,2.08,D,NA,0,2012,0,3,NA,0,,NA,
Bear Creek,58983,C1,36.20696,-118.7269,1119,J,NA,2.3,A,2.94,1,2012,0,3,NA,0,,NA,
Bear Creek,58984,C1,36.20696,-118.7269,1119,A,1,2.4,A,1.79,1,2012,1,3,1473,0,,NA,
Bear Creek,58938,C1,36.20696,-118.7269,1119,J,NA,2.4,D,NA,0,2012,0,3,NA,0,,NA,
Bear Creek,58988,C1,36.20696,-118.7269,1119,J,NA,2.56,D,NA,0,2012,0,3,NA,0,,NA,
Bear Creek,58973,C1,36.20696,-118.7269,1119,J,NA,2.71,D,NA,0,2012,0,3,NA,0,,NA,
Bear Creek,58954,C1,36.20696,-118.7269,1119,J,NA,2.77,D,NA,0,2012,0,3,NA,0,,NA,
Bear Creek,58947,C1,36.20696,-118.7269,1119,J,NA,2.89,J,2.77,1,2012,0,3,NA,0,,NA,
Bear Creek,58990,C1,36.20696,-118.7269,1119,J,NA,2.94,D,NA,0,2012,0,3,NA,0,,NA,
