Site,Paper_ID,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
Coast Fork of Williamette,55,43.6517,-123.088,254,10.2,18.9,3.5,15.4,1255,220,16.1,85.8,92,2182,2965,145,285,122,313,192,46,-18.3,38.9,-9999,850,394,65,55.16,1028
Canton Creek,57,43.4137,-122.7804,503,10.1,19.7,3.7,16.1,1420,248,14.2,79.5,103,2190,3043,187,274,133,314,181,77,-19.4,39.3,-9999,868,403,65,68.19,1082
Rock Creek,11,43.37876,-122.9521,295,10.7,20,3.5,16.4,1452,232,14.2,86,91,2331,2875,203,282,126,312,186,57,-18.5,40,-9999,912,433,63,66.47,1158
O'Neil Creek,9,41.80979,-123.1189,487,11.3,22.4,3.8,18.6,936,132,22.8,170.1,94,2597,2807,375,263,145,309,164,44,-20.1,41.6,-9999,1036,612,58,-2.48,1418
Deep Creek,8,41.66546,-123.1134,694,12.2,23.8,4.2,19.6,320,101,69.3,235.3,86,2874,2642,507,269,140,313,173,11,-20.8,42.4,-9999,1079,772,57,-74.16,1635
Little Jameson Creek,7,39.74298,-120.704,1592,8.4,18.7,0.3,18.4,1828,383,10.1,48.9,204,1871,3609,143,205,165,296,131,365,-28,38.3,-9999,947,366,57,101.43,931
Oregon Creek,6,39.39704,-121.082,448,15,24.8,7.8,17,1738,242,14.4,102.5,30,3714,1802,712,323,82,334,252,13,-15.6,44.3,-9999,1200,560,58,49.29,2135
Rainbow Pool,29,37.81878,-120.0073,833,13.1,23.3,5.3,18,1116,178,20.7,130.4,52,3099,2267,468,293,118,322,204,24,-20.1,42.9,-9999,1144,613,58,3.06,1686
Carlon,28,37.81006,-119.8568,1320,11.3,21.4,3.4,18,1189,214,17.9,100,83,2562,2744,304,264,142,312,171,59,-23.3,40.3,-9999,1053,493,59,23.31,1326
Buck Meadows,27,37.77722,-120.0633,830,13.5,23.6,5.7,17.9,1125,172,20.9,137.1,47,3225,2166,514,299,112,324,212,20,-19.3,43.1,-9999,1168,642,58,-0.49,1773
Wawona,5,37.53822,-119.6514,1208,12.2,22.5,4.4,18.1,1158,171,19.2,131.9,67,2846,2505,400,274,133,315,183,40,-21.6,41,-9999,1115,596,58,10.82,1527
Redwood Creek,4,36.68952,-118.9096,1677,9.9,20.5,2.2,18.3,819,117,24.3,174.5,126,2212,3156,222,234,153,306,153,94,-25.5,37.9,-9999,1001,546,59,-3.04,1126
North Fork Middle Fork Tule,3,36.20081,-118.6509,1284,13.2,23.6,5.5,18.2,707,86,32.8,276,50,3156,2253,513,311,105,331,226,16,-17,40.5,-9999,1108,674,63,-33.63,1738
South Fork Middle Fork Tule,58,36.13756,-118.5741,1664,10.4,20.6,3,17.5,750,92,27.2,222.9,100,2317,2982,233,244,157,309,151,56,-23.7,37.9,-9999,1049,606,58,-16.03,1167
West Fork Mojave River,2,34.28425,-117.3754,1087,14.8,24.2,7.2,17.1,735,94,33.7,257.3,32,3639,1795,607,321,85,337,252,6,-15.2,41.4,-9999,1301,874,58,-53.59,2041
Mill Creek,12,34.07808,-116.8756,1992,8.5,18.5,0.3,18.1,779,96,23.7,191.5,193,1875,3552,110,200,173,292,119,131,-29.3,35.9,-9999,1050,666,55,-4.85,877
Whitewater Canyon,17,33.99329,-116.6627,696,18.4,28.7,10,18.7,230,39,123.6,744.6,14,4900,1085,1235,353,31,355,324,0,-9.9,44.9,-9999,1489,1248,57,-135.74,3126
Sweetwater River,1,32.89913,-116.5865,1386,12.9,22.4,5.5,16.9,649,55,35.3,406.9,52,3050,2251,391,294,117,319,202,12,-18,41.3,-9999,1250,878,57,-49.85,1605
Kitchen Creek,15,32.75206,-116.4522,1173,13.3,22.5,6.3,16.2,467,39,49.9,573.3,42,3155,2120,398,284,133,313,181,6,-17.7,42.4,-9999,1386,1068,51,-86.99,1652
Hauser Creek,14,32.65822,-116.5323,788,14.9,23.7,8.1,15.6,321,23,77.7,1022.5,25,3672,1679,557,303,111,323,211,2,-15.4,44.5,-9999,1509,1224,48,-119.89,2028
