Site,Paper_ID,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
Coast Fork of Williamette,55,43.6517,-123.088,254,10.9,19.7,3.8,15.9,1785,208,11.7,94.9,83,2382,2750,160,296,102,310,208,44,-18.3,38.9,-9999,900,415,65,101.3,1125
Canton Creek,57,43.4137,-122.7804,503,10.9,20.8,3,17.8,2015,227,10.4,91.7,98,2433,2821,225,288,111,312,200,62,-19.4,39.3,-9999,929,436,64,119.11,1215
Rock Creek,11,43.37876,-122.9521,295,11.4,21,3.2,17.8,2103,205,10.2,102.3,87,2568,2664,240,295,104,309,205,49,-18.5,40,-9999,971,478,63,123.28,1294
O'Neil Creek,9,41.80979,-123.1189,487,12.1,23.9,2.4,21.5,1292,60,17.1,400.2,102,2910,2606,461,278,111,312,201,39,-20.1,41.6,-9999,1108,733,58,22.83,1632
Deep Creek,8,41.66546,-123.1134,694,13,25.3,2.3,23,390,46,58.8,544.9,97,3197,2451,614,282,106,317,210,9,-20.8,42.4,-9999,1152,907,58,-78.11,1874
Little Jameson Creek,7,39.74298,-120.704,1592,9.7,20.5,0,20.5,1929,125,10.2,164.5,179,2249,3221,211,231,138,299,161,142,-28,38.3,-9999,1041,630,57,97.14,1156
Oregon Creek,6,39.39704,-121.082,448,16.2,26.6,6.7,20,2100,71,12.5,372.7,29,4136,1555,884,333,58,339,281,6,-15.6,44.3,-9999,1301,813,57,71.12,2499
Rainbow Pool,29,37.81878,-120.0073,833,14.3,25.3,5.1,20.2,1126,44,21.6,577.7,47,3531,1977,637,309,88,325,237,6,-20.1,42.9,-9999,1230,845,58,-8.79,2020
Carlon,28,37.81006,-119.8568,1320,12.6,23.3,3.3,20.1,1171,48,19.3,485.9,75,2998,2412,433,285,108,315,207,15,-23.3,40.3,-9999,1138,764,59,8.62,1636
Buck Meadows,27,37.77722,-120.0633,830,14.7,25.6,5.6,20,1135,42,21.8,611,42,3648,1887,684,314,83,327,244,5,-19.3,43.1,-9999,1254,867,58,-12.43,2109
Wawona,5,37.53822,-119.6514,1208,13.5,24.3,4.5,19.8,1158,29,20.3,824.3,57,3282,2171,542,296,101,319,218,10,-21.6,41,-9999,1202,833,58,-3.19,1835
Redwood Creek,4,36.68952,-118.9096,1677,11.3,22.1,1.8,20.2,908,11,23.5,2072.1,112,2659,2760,319,259,116,311,195,30,-25.5,37.9,-9999,1082,739,60,-6.21,1414
North Fork Middle Fork Tule,3,36.20081,-118.6509,1284,14.6,25.4,5.1,20.3,814,8,30.3,3079.7,46,3645,1918,689,323,69,335,266,6,-17,40.5,-9999,1187,863,63,-34.57,2119
South Fork Middle Fork Tule,58,36.13756,-118.5741,1664,11.9,22.3,3,19.3,849,11,25.8,1979.1,87,2781,2580,336,269,117,315,197,21,-23.7,37.9,-9999,1128,799,59,-18.81,1470
West Fork Mojave River,2,34.28425,-117.3754,1087,16.1,26,7.9,18.1,555,46,47.1,570.6,24,4106,1488,794,333,63,343,280,3,-15.2,41.4,-9999,1372,953,57,-84.26,2424
Mill Creek,12,34.07808,-116.8756,1992,9.9,19.7,1.4,18.3,639,79,31.1,248.9,147,2245,3117,167,224,141,301,159,66,-29.3,35.9,-9999,1106,694,56,-29.51,1102
Whitewater Canyon,17,33.99329,-116.6627,696,19.8,29.6,11,18.7,207,42,143.8,704,10,5386,860,1506,360,17,356,339,0,-9.9,44.9,-9999,1549,1365,57,-149.82,3587
Sweetwater River,1,32.89913,-116.5865,1386,13.9,23.6,6.5,17.1,609,40,39.2,588.8,41,3349,1994,484,305,102,326,223,7,-18,41.3,-9999,1304,905,56,-63.63,1819
Kitchen Creek,15,32.75206,-116.4522,1173,14.2,23.6,7.4,16.2,457,39,53,604.9,33,3443,1868,482,295,119,321,201,4,-17.7,42.4,-9999,1443,1073,50,-99.21,1858
Hauser Creek,14,32.65822,-116.5323,788,15.8,24.9,8.9,16,313,25,82.3,981.5,20,3964,1478,661,312,99,330,231,1,-15.4,44.5,-9999,1564,1296,47,-132.02,2258
