Site,Paper_ID,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
Coast Fork of Williamette,55,43.6517,-123.088,254,11.1,20.3,2.1,18.2,964,371,21.9,54.7,100,2510,2718,212,289,100,308,208,31,-18.3,38.9,-9999,923,406,64,17.25,1240
Canton Creek,57,43.4137,-122.7804,503,11.1,21.4,2.4,19,1074,397,19.6,53.9,105,2531,2769,259,283,107,307,200,48,-19.4,39.3,-9999,940,418,63,24.5,1293
Rock Creek,11,43.37876,-122.9521,295,11.6,21.6,2.3,19.4,1065,379,20.3,57,97,2682,2623,290,288,101,305,205,46,-18.5,40,-9999,986,459,62,18.44,1389
O'Neil Creek,9,41.80979,-123.1189,487,12.5,25,3.2,21.8,478,166,47.1,150.1,88,3013,2471,480,276,114,298,184,39,-20.1,41.6,-9999,1129,732,56,-61.72,1667
Deep Creek,8,41.66546,-123.1134,694,13.4,26.6,3.3,23.2,182,98,128.8,271.6,82,3311,2303,629,281,109,303,194,11,-20.8,42.4,-9999,1176,986,55,-102.84,1907
Little Jameson Creek,7,39.74298,-120.704,1592,9.6,20.8,0,20.9,507,153,38.6,136.3,185,2189,3246,183,221,138,280,142,126,-28,38.3,-9999,1011,599,54,-43.47,1070
Oregon Creek,6,39.39704,-121.082,448,16.4,26.9,7.3,19.6,535,126,49.4,213.8,26,4196,1433,840,324,67,323,255,9,-15.6,44.3,-9999,1306,832,54,-86.74,2545
Rainbow Pool,29,37.81878,-120.0073,833,14.3,24.8,5.6,19.3,384,51,63.3,487.6,44,3503,1916,558,301,92,307,215,14,-20.1,42.9,-9999,1230,891,55,-84.28,1957
Carlon,28,37.81006,-119.8568,1320,12.5,23,3.9,19.1,409,61,55,378.9,70,2941,2372,367,279,110,296,186,30,-23.3,40.3,-9999,1133,773,57,-68.6,1541
Buck Meadows,27,37.77722,-120.0633,830,14.7,25.3,5.9,19.4,391,48,63.2,525.9,40,3633,1826,613,306,87,309,222,12,-19.3,43.1,-9999,1255,912,55,-88.36,2065
Wawona,5,37.53822,-119.6514,1208,13.4,24.1,4.5,19.6,424,49,55.1,487.8,59,3215,2180,479,286,105,301,196,20,-21.6,41,-9999,1193,843,56,-76.21,1752
Redwood Creek,4,36.68952,-118.9096,1677,11.4,21.8,2.2,19.5,372,44,57.4,494.5,93,2614,2692,280,267,116,294,178,42,-25.5,37.9,-9999,1053,748,60,-58.22,1326
North Fork Middle Fork Tule,3,36.20081,-118.6509,1284,14.7,25.2,5.7,19.5,418,45,59.2,556.7,37,3649,1808,616,330,65,325,259,9,-17,40.5,-9999,1158,838,63,-72.13,2051
South Fork Middle Fork Tule,58,36.13756,-118.5741,1664,11.9,21.9,3.3,18.7,466,57,47,387.2,72,2741,2510,291,277,118,297,179,27,-23.7,37.9,-9999,1101,765,59,-55.89,1376
West Fork Mojave River,2,34.28425,-117.3754,1087,15.7,24.9,7.1,17.8,355,42,72.5,594.8,28,3973,1566,726,331,64,331,267,3,-15.2,41.4,-9999,1326,1025,59,-95.64,2323
Mill Creek,12,34.07808,-116.8756,1992,9.5,19.3,1.1,18.2,448,64,43.6,302.9,155,2132,3215,142,225,142,286,144,52,-29.3,35.9,-9999,1073,760,57,-43.58,1013
Whitewater Canyon,17,33.99329,-116.6627,696,19.4,29.1,10.4,18.7,146,35,201.1,835.1,11,5254,900,1406,358,24,347,323,0,-9.9,44.9,-9999,1513,1334,58,-149,3459
Sweetwater River,1,32.89913,-116.5865,1386,13.5,22.5,5.8,16.7,387,60,60.7,377.4,46,3239,2078,431,305,96,316,220,6,-18,41.3,-9999,1255,905,58,-77.67,1724
Kitchen Creek,15,32.75206,-116.4522,1173,13.8,22.5,6.6,15.9,309,53,77.1,426.4,39,3310,1974,429,295,112,311,199,4,-17.7,42.4,-9999,1395,1092,51,-104.29,1755
Hauser Creek,14,32.65822,-116.5323,788,15.4,23.7,8.5,15.3,214,34,119,705.5,23,3850,1549,608,313,92,321,229,1,-15.4,44.5,-9999,1516,1272,49,-131.78,2170
