Site,Paper_ID,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
Coast Fork of Williamette,55,43.6517,-123.088,254,12.6,20.8,4.4,16.4,1193,134,19,154.9,52,2906,2247,288,319,87,316,228,12,-18.3,38.9,-9999,991,541,63,27.4,1483
Canton Creek,57,43.4137,-122.7804,503,12.6,21.5,3.6,17.8,1324,142,17.1,150.9,61,2944,2308,345,312,98,315,217,16,-19.4,39.3,-9999,1011,556,63,36.26,1552
Rock Creek,11,43.37876,-122.9521,295,13.1,21.9,3.8,18.1,1431,127,16.1,173.1,55,3096,2169,381,318,90,313,223,15,-18.5,40,-9999,1055,607,61,41.52,1653
O'Neil Creek,9,41.80979,-123.1189,487,13.7,23.4,3.2,20.2,1055,145,22.5,161.2,59,3346,2102,535,308,106,314,209,10,-20.1,41.6,-9999,1147,744,58,-9.26,1889
Deep Creek,8,41.66546,-123.1134,694,14.6,24.9,3.2,21.7,356,115,68.9,216.5,56,3635,1965,704,311,101,321,220,3,-20.8,42.4,-9999,1191,938,58,-90.06,2135
Little Jameson Creek,7,39.74298,-120.704,1592,10.6,19.1,0.1,19,865,109,23.8,174.3,134,2423,2898,205,247,148,295,147,47,-28,38.3,-9999,1058,708,57,-13.25,1218
Oregon Creek,6,39.39704,-121.082,448,17.2,25.4,6.5,18.9,894,45,30.4,566.7,21,4450,1289,969,340,58,341,283,4,-15.6,44.3,-9999,1325,965,56,-54.59,2765
Rainbow Pool,29,37.81878,-120.0073,833,14.9,23.5,4.6,19,904,95,27.5,248.3,38,3692,1779,616,319,88,330,241,4,-20.1,42.9,-9999,1227,804,58,-32.14,2119
Carlon,28,37.81006,-119.8568,1320,13.1,21.6,2.9,18.8,951,147,24.3,147.5,61,3121,2189,391,299,112,320,208,8,-23.3,40.3,-9999,1128,661,59,-14.52,1671
Buck Meadows,27,37.77722,-120.0633,830,15.3,23.9,5.1,18.9,925,80,27.3,299.5,34,3821,1692,677,323,83,332,249,3,-19.3,43.1,-9999,1254,837,58,-34.89,2223
Wawona,5,37.53822,-119.6514,1208,13.9,22.7,4,18.8,995,124,24.1,183.5,47,3389,2001,497,306,105,323,217,5,-21.6,41,-9999,1188,730,58,-19.01,1881
Redwood Creek,4,36.68952,-118.9096,1677,11.6,20.3,1.2,19.1,721,84,29.9,241.2,92,2671,2604,262,278,129,311,182,16,-25.5,37.9,-9999,1041,688,62,-21.88,1353
North Fork Middle Fork Tule,3,36.20081,-118.6509,1284,14.8,23.5,4.3,19.2,662,92,37.5,255.6,38,3679,1788,605,334,70,339,269,4,-17,40.5,-9999,1133,745,66,-43.29,2099
South Fork Middle Fork Tule,58,36.13756,-118.5741,1664,12,20.5,2.1,18.4,747,112,29.4,183.4,75,2776,2455,267,287,131,316,185,15,-23.7,37.9,-9999,1082,665,61,-24.77,1397
West Fork Mojave River,2,34.28425,-117.3754,1087,16.3,24.9,7.4,17.5,736,158,35.7,157.8,19,4132,1394,738,344,59,350,292,2,-15.2,41.4,-9999,1304,820,60,-56.63,2428
Mill Creek,12,34.07808,-116.8756,1992,10,18.9,0.9,18,889,228,22.5,82.9,120,2192,3060,138,242,165,303,138,37,-29.3,35.9,-9999,1048,459,59,2.37,1026
Whitewater Canyon,17,33.99329,-116.6627,696,19.8,29,10.2,18.8,292,94,102.2,309.1,8,5400,783,1441,361,23,356,333,0,-9.9,44.9,-9999,1472,1180,60,-128.49,3592
Sweetwater River,1,32.89913,-116.5865,1386,14.4,23.1,6.2,16.9,548,207,44.6,111.8,31,3507,1825,504,325,90,338,248,3,-18,41.3,-9999,1245,737,60,-63.54,1912
Kitchen Creek,15,32.75206,-116.4522,1173,14.7,23.2,7,16.2,450,178,54.9,130.5,26,3585,1734,506,315,110,334,224,2,-17.7,42.4,-9999,1389,952,53,-92.67,1957
Hauser Creek,14,32.65822,-116.5323,788,16.4,24.5,8.7,15.8,299,115,88.2,212.3,15,4149,1320,701,330,84,343,259,0,-15.4,44.5,-9999,1517,1211,50,-125.99,2422
