Site,Paper_ID,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
Coast Fork of Williamette,55,43.6517,-123.088,254,11.8,20.2,2.1,18.1,1476,136,14.8,148.5,76,2675,2456,191,312,83,314,232,35,-18.3,38.9,-9999,941,512,64,64.22,1284
Canton Creek,57,43.4137,-122.7804,503,11.6,21.1,1.6,19.5,1650,149,13.1,142,89,2655,2563,232,304,93,313,220,56,-19.4,39.3,-9999,956,523,64,78.59,1316
Rock Creek,11,43.37876,-122.9521,295,12.2,21.4,1.8,19.6,1770,137,12.5,156.1,81,2825,2398,267,310,86,311,225,54,-18.5,40,-9999,1003,565,63,84.91,1427
O'Neil Creek,9,41.80979,-123.1189,487,12.7,23.9,2.2,21.8,1396,72,16.3,330.4,85,3049,2404,465,299,97,308,210,49,-20.1,41.6,-9999,1103,742,60,34.03,1677
Deep Creek,8,41.66546,-123.1134,694,13.5,25.4,2.3,23.1,435,55,54.1,463.7,81,3340,2256,621,302,93,314,221,14,-20.8,42.4,-9999,1146,879,60,-72.71,1916
Little Jameson Creek,7,39.74298,-120.704,1592,9.8,19.6,1.1,18.4,1772,78,11.2,250.1,147,2188,3151,175,244,136,286,149,169,-28,38.3,-9999,1016,623,58,84.62,1079
Oregon Creek,6,39.39704,-121.082,448,16.4,25.6,7.5,18.1,1964,56,13.5,453.9,25,4182,1453,856,341,48,337,288,13,-15.6,44.3,-9999,1287,814,58,59.73,2526
Rainbow Pool,29,37.81878,-120.0073,833,14.5,24,6.1,17.9,1205,35,20.4,680.3,38,3554,1875,585,320,77,320,243,23,-20.1,42.9,-9999,1217,768,59,-1.08,1986
Carlon,28,37.81006,-119.8568,1320,12.7,22.1,4.3,17.9,1312,53,17.3,420.4,62,2978,2333,380,297,102,307,205,50,-23.3,40.3,-9999,1120,686,60,23.24,1567
Buck Meadows,27,37.77722,-120.0633,830,14.9,24.5,6.6,18,1219,31,20.5,796.4,34,3687,1774,639,325,71,323,252,20,-19.3,43.1,-9999,1243,790,58,-4.43,2090
Wawona,5,37.53822,-119.6514,1208,13.6,23.3,5.3,18,1413,58,16.7,400.4,49,3273,2107,495,305,96,313,217,37,-21.6,41,-9999,1186,721,58,23.03,1784
Redwood Creek,4,36.68952,-118.9096,1677,11.3,20.6,3.3,17.2,1265,64,16.8,320,90,2554,2728,273,272,119,298,179,72,-25.5,37.9,-9999,1042,612,61,33.17,1301
North Fork Middle Fork Tule,3,36.20081,-118.6509,1284,14.4,23.8,6.5,17.3,943,32,25.9,738.6,38,3528,1908,590,336,58,329,271,16,-17,40.5,-9999,1127,737,66,-14.48,1970
South Fork Middle Fork Tule,58,36.13756,-118.5741,1664,11.6,20.7,4.2,16.5,1001,36,21.6,582.6,74,2635,2605,281,282,120,300,180,45,-23.7,37.9,-9999,1073,680,61,2.93,1328
West Fork Mojave River,2,34.28425,-117.3754,1087,16.1,25,7.9,17.1,862,37,30.3,671.1,22,4082,1447,740,344,53,343,290,5,-15.2,41.4,-9999,1321,853,60,-45.79,2386
Mill Creek,12,34.07808,-116.8756,1992,9.8,19.3,1.6,17.7,1094,50,18.1,383.9,128,2161,3123,153,238,155,284,129,76,-29.3,35.9,-9999,1064,615,59,20.71,1010
Whitewater Canyon,17,33.99329,-116.6627,696,19.8,29.1,11,18.1,344,20,86.5,1442.1,9,5361,803,1423,362,17,356,338,1,-9.9,44.9,-9999,1498,1275,60,-127.35,3553
Sweetwater River,1,32.89913,-116.5865,1386,14.3,23.1,6.5,16.6,634,55,38.4,420,32,3476,1843,485,328,82,329,246,7,-18,41.3,-9999,1268,944,60,-57.84,1880
Kitchen Creek,15,32.75206,-116.4522,1173,14.7,23,7.4,15.6,462,42,53.4,540.9,26,3569,1733,487,320,101,323,222,4,-17.7,42.4,-9999,1411,1147,53,-94.81,1935
Hauser Creek,14,32.65822,-116.5323,788,16.3,24.2,9.3,14.9,319,30,82.5,800.1,16,4119,1331,677,334,76,334,258,1,-15.4,44.5,-9999,1534,1322,50,-126.77,2385
