Site,Paper_ID,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
Coast Fork of Williamette,55,43.6517,-123.088,254,11.1,19.8,2.1,17.8,1229,268,17.1,74,88,2465,2698,180,294,89,309,220,59,-18.3,38.9,-9999,904,428,65,46.4,1185
Canton Creek,57,43.4137,-122.7804,503,11,20.6,1.3,19.4,1374,273,15.3,75.7,101,2484,2760,220,288,97,307,210,89,-19.4,39.3,-9999,922,454,64,57.08,1233
Rock Creek,11,43.37876,-122.9521,295,11.5,20.9,2.1,18.8,1444,271,14.9,76.9,89,2623,2617,252,293,92,306,215,75,-18.5,40,-9999,967,479,63,59.33,1325
O'Neil Creek,9,41.80979,-123.1189,487,12.2,23.2,1.6,21.6,1029,167,21.6,139.1,95,2919,2508,413,288,102,303,201,72,-20.1,41.6,-9999,1081,634,60,1.31,1581
Deep Creek,8,41.66546,-123.1134,694,13.1,24.7,2,22.7,337,101,68.5,244.4,88,3209,2348,559,293,98,308,210,17,-20.8,42.4,-9999,1125,893,59,-78.45,1819
Little Jameson Creek,7,39.74298,-120.704,1592,8.9,19.5,-1.9,21.4,1816,248,10.4,78.7,213,2012,3449,146,223,149,276,128,434,-28,38.3,-9999,953,513,58,96.19,956
Oregon Creek,6,39.39704,-121.082,448,15.6,25.8,5.2,20.5,2018,237,12.7,108.9,36,3966,1648,788,331,64,325,261,28,-15.6,44.3,-9999,1250,692,58,72.19,2358
Rainbow Pool,29,37.81878,-120.0073,833,13.6,24,3.2,20.8,1344,149,17.6,160.7,58,3304,2119,509,307,96,311,215,48,-20.1,42.9,-9999,1170,766,59,22.09,1817
Carlon,28,37.81006,-119.8568,1320,11.7,22.1,1.2,20.9,1438,205,15.1,107.7,96,2734,2599,312,280,120,299,178,118,-23.3,40.3,-9999,1073,700,60,43.98,1404
Buck Meadows,27,37.77722,-120.0633,830,14.1,24.4,3.8,20.6,1342,132,17.9,184.6,50,3447,2006,562,313,89,314,225,38,-19.3,43.1,-9999,1195,796,59,17,1924
Wawona,5,37.53822,-119.6514,1208,12.6,23.2,2.1,21.1,1564,183,14.5,126.6,77,3004,2386,417,289,112,304,192,90,-21.6,41,-9999,1132,743,59,47.79,1608
Redwood Creek,4,36.68952,-118.9096,1677,10.3,20.9,0.1,20.8,1412,178,14.4,117.7,133,2348,3005,223,258,134,293,160,158,-25.5,37.9,-9999,988,638,62,55.96,1160
North Fork Middle Fork Tule,3,36.20081,-118.6509,1284,13.6,24.1,3.6,20.5,1385,185,17,130.3,55,3283,2136,509,324,79,322,243,33,-17,40.5,-9999,1075,718,66,38.63,1795
South Fork Middle Fork Tule,58,36.13756,-118.5741,1664,10.7,21,1,20,1533,213,13.5,98.7,109,2416,2875,226,266,139,295,156,114,-23.7,37.9,-9999,1021,663,62,64.55,1181
West Fork Mojave River,2,34.28425,-117.3754,1087,14.7,24.5,5.1,19.3,1259,98,19.6,248.5,40,3644,1844,629,330,74,334,260,18,-15.2,41.4,-9999,1244,877,62,8.53,2068
Mill Creek,12,34.07808,-116.8756,1992,8.5,18.6,-1.4,20,1698,122,10.9,152.2,213,1914,3553,119,216,168,283,115,356,-29.3,35.9,-9999,976,666,60,90.98,890
Whitewater Canyon,17,33.99329,-116.6627,696,18.5,28.8,8.3,20.4,553,36,51.5,792.6,16,4943,1075,1265,358,26,349,323,2,-9.9,44.9,-9999,1439,1147,61,-94.67,3177
Sweetwater River,1,32.89913,-116.5865,1386,13,22.7,4,18.8,1230,118,18.7,193,57,3088,2246,414,311,97,321,223,32,-18,41.3,-9999,1192,795,62,15.24,1636
Kitchen Creek,15,32.75206,-116.4522,1173,13.3,22.8,4.7,18.1,858,86,27.1,266.3,47,3155,2140,409,301,115,317,201,16,-17.7,42.4,-9999,1329,961,55,-39.44,1658
Hauser Creek,14,32.65822,-116.5323,788,14.9,24.1,6.6,17.5,584,49,42.7,489.7,28,3686,1705,575,318,93,326,234,5,-15.4,44.5,-9999,1452,1120,52,-84.53,2046
