Site,Paper_ID,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
Coast Fork of Williamette,55,43.6517,-123.088,254,12.4,20.8,5.9,14.8,1529,221,14.6,93.8,54,2821,2320,272,316,84,324,240,23,-18.3,38.9,-9999,964,441,63,64.71,1430
Canton Creek,57,43.4137,-122.7804,503,12.3,21.8,5.6,16.2,1734,244,12.9,89.2,59,2832,2386,320,312,92,325,232,28,-19.4,39.3,-9999,978,438,63,82.12,1473
Rock Creek,11,43.37876,-122.9521,295,12.9,22.1,6.1,16,1789,226,12.8,97.6,51,2996,2227,352,318,85,324,239,24,-18.5,40,-9999,1027,489,62,81.65,1578
O'Neil Creek,9,41.80979,-123.1189,487,13.8,25.4,5.7,19.7,1099,109,21.6,232.8,49,3336,2111,574,313,94,323,228,11,-20.1,41.6,-9999,1156,765,59,-6.22,1874
Deep Creek,8,41.66546,-123.1134,694,14.6,27,5.6,21.3,344,70,71.5,383.9,47,3629,1971,736,316,89,328,239,2,-20.8,42.4,-9999,1200,942,58,-93.13,2127
Little Jameson Creek,7,39.74298,-120.704,1592,10.7,21.6,2.4,19.2,1297,129,15.9,166.9,106,2397,2899,223,250,139,293,154,43,-28,38.3,-9999,1056,604,57,30.77,1207
Oregon Creek,6,39.39704,-121.082,448,17.3,27.3,8.9,18.4,1591,85,17.1,323,16,4473,1230,956,351,35,346,311,1,-15.6,44.3,-9999,1327,813,57,15.45,2749
Rainbow Pool,29,37.81878,-120.0073,833,15.3,24.8,7.4,17.4,879,60,28.8,417.4,26,3810,1620,638,332,68,332,264,3,-20.1,42.9,-9999,1254,826,58,-39.96,2174
Carlon,28,37.81006,-119.8568,1320,13.5,23,5.6,17.4,868,75,27.1,306.8,43,3224,2051,419,311,96,320,224,6,-23.3,40.3,-9999,1156,728,59,-27.65,1725
Buck Meadows,27,37.77722,-120.0633,830,15.8,25.3,7.9,17.4,907,55,28.4,461.4,23,3951,1527,703,336,61,335,274,2,-19.3,43.1,-9999,1281,853,58,-42.22,2290
Wawona,5,37.53822,-119.6514,1208,14.5,24,6.7,17.3,847,60,28.9,398.7,33,3534,1831,543,319,87,325,238,5,-21.6,41,-9999,1221,804,58,-40.48,1959
Redwood Creek,4,36.68952,-118.9096,1677,12.2,21.5,3.7,17.8,695,55,31.9,389.6,66,2814,2423,290,288,111,312,202,10,-25.5,37.9,-9999,1081,713,61,-30.59,1441
North Fork Middle Fork Tule,3,36.20081,-118.6509,1284,15.4,25,6.7,18.2,671,39,37.9,638.6,27,3846,1597,647,346,42,345,303,2,-17,40.5,-9999,1179,852,65,-49.85,2201
South Fork Middle Fork Tule,58,36.13756,-118.5741,1664,12.6,21.7,4.4,17.3,720,47,31.3,457.3,53,2918,2276,292,298,107,316,209,7,-23.7,37.9,-9999,1123,776,60,-33.96,1481
West Fork Mojave River,2,34.28425,-117.3754,1087,16.9,25,9.1,16,527,57,51.1,439.4,14,4332,1203,773,353,31,355,324,1,-15.2,41.4,-9999,1363,1033,59,-86.39,2587
Mill Creek,12,34.07808,-116.8756,1992,10.6,19.3,2.4,16.8,647,86,31.8,223,91,2325,2848,137,252,137,300,163,17,-29.3,35.9,-9999,1103,742,58,-30.26,1078
Whitewater Canyon,17,33.99329,-116.6627,696,20.4,29.1,11.8,17.3,206,42,148,695.9,6,5597,649,1510,365,8,362,354,0,-9.9,44.9,-9999,1541,1396,59,-148.14,3782
Sweetwater River,1,32.89913,-116.5865,1386,14.8,22.8,7.8,14.9,398,47,62.3,479.1,25,3611,1672,488,333,69,339,270,1,-18,41.3,-9999,1298,1024,59,-86.38,1963
Kitchen Creek,15,32.75206,-116.4522,1173,15.1,22.7,8.5,14.1,281,42,89.2,542.9,21,3689,1573,484,324,88,334,247,1,-17.7,42.4,-9999,1439,1244,52,-117.97,2007
Hauser Creek,14,32.65822,-116.5323,788,16.7,23.9,10.3,13.7,203,32,131.4,747.8,12,4258,1188,698,338,61,345,284,0,-15.4,44.5,-9999,1564,1423,49,-143.33,2502
