Site,Paper_ID,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
Coast Fork of Williamette,55,43.6517,-123.088,254,10.9,18.8,4.9,13.9,1557,338,13.4,55.5,61,2294,2727,132,307,110,317,207,34,-18.3,38.9,9,872,296,66,82.21,1028
Canton Creek,57,43.4137,-122.7804,503,10.7,19.9,4.2,15.6,1712,370,12.1,53.7,75,2288,2840,179,295,125,314,189,45,-19.4,39.3,10,891,292,65,94.62,1085
Rock Creek,11,43.37876,-122.9521,295,11.2,20.1,4.4,15.7,1796,347,11.8,57.9,65,2439,2671,196,304,115,313,199,38,-18.5,40,8.8,934,333,64,98.06,1165
O'Neil Creek,9,41.80979,-123.1189,487,11.6,23.5,3.8,19.6,1148,114,18.8,206.3,81,2642,2727,379,279,144,306,162,30,-20.1,41.6,8.5,1049,625,60,18.45,1416
Deep Creek,8,41.66546,-123.1134,694,12.3,25.1,3.8,21.2,375,75,59.6,334.5,75,2917,2572,514,284,139,313,173,8,-20.8,42.4,9.2,1090,817,59,-68.73,1636
Little Jameson Creek,7,39.74298,-120.704,1592,8.6,19.5,1.8,17.8,1640,100,11.4,195.1,173,1878,3538,136,214,180,284,104,172,-28,38.3,13.2,939,565,59,82.4,926
Oregon Creek,6,39.39704,-121.082,448,15.2,25.8,8,17.8,1824,82,13.8,313.9,27,3756,1752,707,335,78,338,260,9,-15.6,44.3,11.7,1215,733,59,57.97,2153
Rainbow Pool,29,37.81878,-120.0073,833,13.1,23.4,7.1,16.3,1408,51,16.4,463,46,3075,2264,467,301,125,319,194,16,-20.1,42.9,11.1,1151,716,59,32.78,1673
Carlon,28,37.81006,-119.8568,1320,11.3,21.6,5.2,16.4,1539,68,13.8,319.9,77,2532,2748,297,268,152,306,154,42,-23.3,40.3,13.6,1060,639,60,58.88,1324
Buck Meadows,27,37.77722,-120.0633,830,13.5,23.8,7.5,16.4,1409,44,16.7,539.7,41,3207,2158,509,308,117,322,205,13,-19.3,43.1,12.5,1175,738,59,28.2,1758
Wawona,5,37.53822,-119.6514,1208,12.2,22.7,6,16.7,1661,51,13.4,447.9,61,2822,2502,400,280,144,311,167,33,-21.6,41,15.9,1122,695,59,61.35,1516
Redwood Creek,4,36.68952,-118.9096,1677,9.8,20.4,3.1,17.4,1613,32,12.3,632.9,126,2176,3188,212,234,161,299,138,108,-25.5,37.9,16.8,1003,634,60,77.47,1121
North Fork Middle Fork Tule,3,36.20081,-118.6509,1284,13.2,23.9,6.7,17.2,1517,30,15.3,809.6,47,3133,2259,508,315,110,329,218,18,-17,40.5,14.9,1111,715,64,48.44,1722
South Fork Middle Fork Tule,58,36.13756,-118.5741,1664,10.4,20.8,4.3,16.5,1619,35,12.6,600.6,95,2301,2981,228,246,165,301,136,68,-23.7,37.9,15.6,1051,661,59,71.72,1171
West Fork Mojave River,2,34.28425,-117.3754,1087,14.7,23.9,8.3,15.6,1184,17,20.9,1409.9,27,3588,1801,581,329,88,337,249,7,-15.2,41.4,14.6,1284,863,59,-6.88,1974
Mill Creek,12,34.07808,-116.8756,1992,8.4,18.3,1.7,16.6,1582,25,11.6,724.3,173,1809,3583,102,200,177,285,108,161,-29.3,35.9,19.2,1031,646,57,77.87,845
Whitewater Canyon,17,33.99329,-116.6627,696,18.3,28.2,11.4,16.8,520,7,54.5,3778.3,11,4853,1072,1182,358,28,356,328,1,-9.9,44.9,15,1468,1225,58,-103.42,3069
Sweetwater River,1,32.89913,-116.5865,1386,12.8,21.7,6.8,14.9,1224,23,18.7,935.9,42,2981,2241,349,303,120,319,199,14,-18,41.3,16.9,1226,776,58,10.57,1521
Kitchen Creek,15,32.75206,-116.4522,1173,13.2,21.9,7.5,14.4,930,20,25,1106.3,35,3085,2114,353,291,138,313,175,8,-17.7,42.4,17,1358,928,52,-37.5,1568
Hauser Creek,14,32.65822,-116.5323,788,14.8,23.1,9.2,13.9,629,14,39.4,1676,21,3598,1676,495,310,115,323,208,2,-15.4,44.5,13.8,1480,1122,49,-85.95,1939
