"","Site_ID","Paper_ID","fl_Dry","fl_Wet","SLA_Dry","SLA_Wet"
"1","32.9_S02","1",-0.0850607674463806,-0.275402330089415,-0.179659142248561,-0.0784396796156476
"2","34.1_S11","4",-0.0257322107052936,-0.0546921022205155,-0.0194158727231658,-0.00186508915751521
"3","34.3_S07","12",-0.014092284841955,0.110912608992503,-0.133157032543613,0.0550329830776372
"4","36.2_S10","3",-0.0490468970946714,-0.154682903877665,-0.0300082191642076,-0.109639401687428
"5","36.7_S08","2",-0.166375191928336,-0.241956043497928,0.0211795228960887,-0.183677080843146
"6","37.5_S32","10",-0.000174921206944291,0.0258036158576277,0.00993272391826096,-0.060872976090904
"7","39.4_S29","9",0.0799434943210459,-0.0863106165065429,-0.171414497688483,-0.0507614641528229
"8","39.7_S18","8",-0.000411962708880049,0.112114220596896,0.00586367509288137,0.0284741847318605
"9","41.7_S17","7",-0.173629896703018,-0.195677199853952,0.108993142553532,-0.153088425074718
"10","41.8_S16","6",-0.0491092242634047,-0.00605673659288866,-0.0427948599391958,-0.0402856109392475
"11","42.3_S36","11",0.0504854248767304,0.0363993155442248,0.0512855106875028,0.063565852997735
"12","43.4_S15","5",-0.0180098457311584,0.0566665338958513,0.00738041273669014,0.100662311829944
