"","Site","Paper_ID","Latitude","Longitude","Year","MAT","MAP","CMD"
"1","Coast Fork of Williamette",55,43.6517,-123.088,2010,11.0833333333333,1152,465
"2","Canton Creek",57,43.4137,-122.7804,2010,10.8916666666667,1269,488
"3","Rock Creek",11,43.37876,-122.9521,2010,11.4,1328,521
"4","O'Neil Creek",9,41.80979,-123.1189,2010,12.0416666666667,803,741
"5","Deep Creek",8,41.66546,-123.1134,2010,12.875,253,969
"6","Little Jameson Creek",7,39.74298,-120.704,2010,9.05833333333333,1232,613
"7","Oregon Creek",6,39.39704,-121.082,2010,15.6833333333333,1368,764
"8","Rainbow Pool",29,37.81878,-120.0073,2010,13.8166666666667,1047,796
"9","Carlon",28,37.81006,-119.8568,2010,11.9666666666667,1128,689
"10","Buck Meadows",27,37.77722,-120.0633,2010,14.225,1052,821
"11","Wawona",5,37.53822,-119.6514,2010,13.025,1147,768
"12","Redwood Creek",4,36.68952,-118.9096,2010,10.475,993,678
"13","North Fork Middle Fork Tule",3,36.20081,-118.6509,2010,13.775,825,814
"14","South Fork Middle Fork Tule",58,36.13756,-118.5741,2010,11.0166666666667,830,748
"15","West Fork Mojave River",2,34.28425,-117.3754,2010,15.4416666666667,462,1054
"16","Mill Creek",12,34.07808,-116.8756,2010,9.16666666666667,557,780
"17","Whitewater Canyon",17,33.99329,-116.6627,2010,19.1,172,1417
"18","Sweetwater River",1,32.89913,-116.5865,2010,13.4666666666667,427,1026
"19","Kitchen Creek",15,32.75206,-116.4522,2010,13.75,315,1204
"20","Hauser Creek",14,32.65822,-116.5323,2010,15.3583333333333,222,1375
"21","Coast Fork of Williamette",55,43.6517,-123.088,2011,10.3583333333333,1211,394
"22","Canton Creek",57,43.4137,-122.7804,2011,10.1916666666667,1388,403
"23","Rock Creek",11,43.37876,-122.9521,2011,10.7166666666667,1414,433
"24","O'Neil Creek",9,41.80979,-123.1189,2011,11.325,814,612
"25","Deep Creek",8,41.66546,-123.1134,2011,12.15,272,811
"26","Little Jameson Creek",7,39.74298,-120.704,2011,8.26666666666667,1751,366
"27","Oregon Creek",6,39.39704,-121.082,2011,14.9083333333333,1650,560
"28","Rainbow Pool",29,37.81878,-120.0073,2011,12.9666666666667,1124,647
"29","Carlon",28,37.81006,-119.8568,2011,11.1666666666667,1202,529
"30","Buck Meadows",27,37.77722,-120.0633,2011,13.3583333333333,1130,677
"31","Wawona",5,37.53822,-119.6514,2011,12.1166666666667,1172,635
"32","Redwood Creek",4,36.68952,-118.9096,2011,9.75,784,598
"33","North Fork Middle Fork Tule",3,36.20081,-118.6509,2011,13.0416666666667,624,727
"34","South Fork Middle Fork Tule",58,36.13756,-118.5741,2011,10.275,645,660
"35","West Fork Mojave River",2,34.28425,-117.3754,2011,14.6666666666667,567,956
"36","Mill Creek",12,34.07808,-116.8756,2011,8.44166666666667,602,695
"37","Whitewater Canyon",17,33.99329,-116.6627,2011,18.3416666666667,193,1306
"38","Sweetwater River",1,32.89913,-116.5865,2011,12.8333333333333,487,912
